open_time,open,high,low,close,close_time,is_closed
1720742400000,0.065,0.0665,0.0637,0.0659,1720828799999,True
1720828800000,0.0659,0.0689,0.0657,0.068,1720915199999,True
1720915200000,0.0681,0.0695,0.067,0.0689,1721001599999,True
1721001600000,0.0689,0.0728,0.0688,0.0725,1721087999999,True
1721088000000,0.0725,0.0742,0.0687,0.0733,1721174399999,True
1721174400000,0.0734,0.0752,0.0714,0.0722,1721260799999,True
1721260800000,0.0722,0.074,0.0681,0.0699,1721347199999,True
1721347200000,0.0698,0.0744,0.0682,0.0739,1721433599999,True
1721433600000,0.0738,0.0749,0.0728,0.0738,1721519999999,True
1721520000000,0.0738,0.0764,0.0714,0.0755,1721606399999,True
1721606400000,0.0754,0.0761,0.0711,0.0717,1721692799999,True
1721692800000,0.0716,0.0729,0.0687,0.0694,1721779199999,True
1721779200000,0.0694,0.0716,0.0681,0.0688,1721865599999,True
1721865600000,0.0688,0.0695,0.0643,0.0668,1721951999999,True
1721952000000,0.0668,0.0705,0.0665,0.0702,1722038399999,True
1722038400000,0.0702,0.0715,0.0685,0.0703,1722124799999,True
1722124800000,0.0703,0.0704,0.0677,0.0685,1722211199999,True
1722211200000,0.0685,0.0709,0.0674,0.0677,1722297599999,True
1722297600000,0.0676,0.0691,0.0651,0.0662,1722383999999,True
1722384000000,0.0662,0.0673,0.0643,0.0647,1722470399999,True
1722470400000,0.0648,0.0653,0.0595,0.0637,1722556799999,True
1722556800000,0.0636,0.0641,0.0591,0.06,1722643199999,True
1722643200000,0.06,0.0607,0.0553,0.0574,1722729599999,True
1722729600000,0.0574,0.0584,0.0527,0.0549,1722815999999,True
1722816000000,0.0549,0.0553,0.0431,0.0503,1722902399999,True
1722902400000,0.0504,0.0543,0.0503,0.0528,1722988799999,True
1722988800000,0.0528,0.0542,0.0504,0.051,1723075199999,True
1723075200000,0.0511,0.0564,0.0502,0.0562,1723161599999,True
1723161600000,0.0561,0.0563,0.054,0.0555,1723247999999,True
1723248000000,0.0555,0.058,0.0549,0.0575,1723334399999,True
1723334400000,0.0575,0.0585,0.0531,0.0536,1723420799999,True
1723420800000,0.0537,0.0565,0.0531,0.0556,1723507199999,True
1723507200000,0.0556,0.0569,0.0542,0.0564,1723593599999,True
1723593600000,0.0563,0.0569,0.0541,0.0548,1723679999999,True
1723680000000,0.0548,0.0558,0.0524,0.053,1723766399999,True
1723766400000,0.0529,0.0537,0.0512,0.0525,1723852799999,True
1723852800000,0.0526,0.0533,0.0521,0.0532,1723939199999,True
1723939200000,0.0532,0.0548,0.0526,0.0537,1724025599999,True
1724025600000,0.0537,0.0545,0.0526,0.0544,1724111999999,True
1724112000000,0.0543,0.0559,0.0536,0.0549,1724198399999,True
1724198400000,0.0549,0.0577,0.0545,0.057,1724284799999,True
1724284800000,0.0571,0.0592,0.0559,0.0588,1724371199999,True
1724371200000,0.0588,0.062,0.0584,0.0615,1724457599999,True
1724457600000,0.0615,0.0638,0.0606,0.0622,1724543999999,True
1724544000000,0.0623,0.0623,0.0586,0.0606,1724630399999,True
1724630400000,0.0605,0.0611,0.0568,0.0571,1724716799999,True
1724716800000,0.0571,0.0587,0.0533,0.0545,1724803199999,True
1724803200000,0.0545,0.0559,0.0521,0.0537,1724889599999,True
1724889600000,0.0537,0.0565,0.0527,0.056,1724975999999,True
1724976000000,0.056,0.0561,0.0518,0.0541,1725062399999,True
1725062400000,0.054,0.0544,0.0525,0.0529,1725148799999,True
1725148800000,0.0529,0.0531,0.0497,0.0502,1725235199999,True
1725235200000,0.0501,0.0527,0.0501,0.0525,1725321599999,True
1725321600000,0.0525,0.0531,0.0501,0.0503,1725407999999,True
1725408000000,0.0503,0.0524,0.0478,0.0517,1725494399999,True
1725494400000,0.0516,0.0518,0.0494,0.0498,1725580799999,True
1725580800000,0.0498,0.051,0.0471,0.0487,1725667199999,True
1725667200000,0.0486,0.051,0.0483,0.0502,1725753599999,True
1725753600000,0.0501,0.0523,0.05,0.0517,1725839999999,True
1725840000000,0.0518,0.0536,0.0515,0.0531,1725926399999,True
1725926400000,0.053,0.0537,0.0524,0.0531,1726012799999,True
1726012800000,0.0532,0.0533,0.0506,0.052,1726099199999,True
1726099200000,0.0521,0.0533,0.052,0.0532,1726185599999,True
1726185600000,0.0532,0.0544,0.0526,0.0539,1726271999999,True
1726272000000,0.054,0.0543,0.053,0.0536,1726358399999,True
1726358400000,0.0536,0.0539,0.0515,0.0519,1726444799999,True
1726444800000,0.0519,0.0522,0.0506,0.0511,1726531199999,True
1726531200000,0.051,0.0528,0.0506,0.052,1726617599999,True
1726617600000,0.052,0.0539,0.0504,0.0539,1726703999999,True
1726704000000,0.0538,0.0563,0.0538,0.0555,1726790399999,True
1726790400000,0.0555,0.0574,0.055,0.0573,1726876799999,True
1726876800000,0.0573,0.0598,0.0565,0.0595,1726963199999,True
1726963200000,0.0595,0.0596,0.0562,0.0576,1727049599999,True
1727049600000,0.0575,0.0625,0.0565,0.0613,1727135999999,True
1727136000000,0.0612,0.0624,0.0593,0.0617,1727222399999,True
1727222400000,0.0618,0.0708,0.0608,0.0665,1727308799999,True
1727308800000,0.0665,0.0708,0.0641,0.0692,1727395199999,True
1727395200000,0.0691,0.0716,0.0684,0.0695,1727481599999,True
1727481600000,0.0696,0.0702,0.0658,0.0687,1727567999999,True
1727568000000,0.0687,0.0706,0.0671,0.0691,1727654399999,True
1727654400000,0.0692,0.0699,0.065,0.0656,1727740799999,True
1727740800000,0.0655,0.0679,0.0584,0.0604,1727827199999,True
1727827200000,0.0604,0.0625,0.058,0.0591,1727913599999,True
1727913600000,0.059,0.0607,0.0574,0.0589,1727999999999,True
1728000000000,0.0588,0.0619,0.0586,0.0619,1728086399999,True
1728086400000,0.0619,0.0653,0.0611,0.0625,1728172799999,True
1728172800000,0.0624,0.0638,0.0616,0.0638,1728259199999,True
1728259200000,0.0637,0.0687,0.0625,0.0682,1728345599999,True
1728345600000,0.0682,0.0689,0.0647,0.0661,1728431999999,True
1728432000000,0.0661,0.0784,0.0653,0.0704,1728518399999,True
1728518400000,0.0704,0.0752,0.0662,0.0689,1728604799999,True
1728604800000,0.0689,0.0723,0.0677,0.07,1728691199999,True
1728691200000,0.07,0.0723,0.0679,0.0698,1728777599999,True
1728777600000,0.0698,0.08,0.069,0.0751,1728863999999,True
1728864000000,0.0751,0.0796,0.074,0.077,1728950399999,True
1728950400000,0.0771,0.0837,0.0762,0.0826,1729036799999,True
1729036800000,0.0826,0.0828,0.0761,0.0763,1729123199999,True
1729123200000,0.0763,0.0765,0.0727,0.0758,1729209599999,True
1729209600000,0.0758,0.0762,0.0739,0.0758,1729295999999,True
1729296000000,0.0759,0.0774,0.0737,0.0742,1729382399999,True
1729382400000,0.0743,0.0747,0.0727,0.0743,1729468799999,True
1729468800000,0.0744,0.0751,0.0717,0.0719,1729555199999,True
1729555200000,0.072,0.0749,0.0707,0.0722,1729641599999,True
1729641600000,0.0721,0.0722,0.0666,0.0691,1729727999999,True
1729728000000,0.0691,0.0691,0.0653,0.0677,1729814399999,True
1729814400000,0.0677,0.0678,0.0588,0.0616,1729900799999,True
1729900800000,0.0616,0.0634,0.0602,0.0618,1729987199999,True
