open_time,open,high,low,close,close_time,is_closed
1781136000000,80.0,84.16,80.0,83.78,1781222399999,True
1781222400000,83.8,87.96,77.76,78.59,1781308799999,True
1781308800000,78.6,80.33,78.6,80.12,1781395199999,True
1781395200000,80.12,82.07,78.15,81.92,1781481599999,True
1781481600000,81.85,87.3,81.05,83.76,1781567999999,True
1781568000000,83.78,85.12,78.94,80.44,1781654399999,True
1781654400000,80.46,85.59,78.8,81.91,1781740799999,True
1781740800000,81.92,82.6,76.96,79.88,1781827199999,True
1781827200000,79.86,80.48,78.0,80.48,1781913599999,True
1781913600000,80.41,81.29,79.67,80.76,1781999999999,True
1782000000000,80.74,82.5,80.55,80.81,1782086399999,True
1782086400000,80.79,84.85,79.1,79.74,1782172799999,True
1782172800000,79.62,79.84,75.0,76.21,1782259199999,True
1782259200000,76.3,77.27,70.19,72.9,1782345599999,True
1782345600000,72.93,73.29,67.91,69.39,1782431999999,True
1782432000000,69.44,74.47,67.31,73.15,1782518399999,True
1782518400000,73.13,75.0,73.13,73.82,1782604799999,True
1782604800000,73.82,74.66,73.69,74.28,1782691199999,True
1782691200000,74.27,76.69,72.54,76.07,1782777599999,True
1782777600000,76.08,76.15,62.09,63.36,1782863999999,True
1782864000000,63.36,67.0,61.25,62.49,1782950399999,True
1782950400000,62.48,69.33,61.91,65.01,1783036799999,True
1783036800000,65.03,68.21,64.61,67.1,1783123199999,True
1783123200000,67.09,67.75,66.32,67.74,1783209599999,True
1783209600000,67.74,70.69,67.52,69.35,1783295999999,True
1783296000000,69.35,70.04,63.5,68.38,1783382399999,True
1783382400000,68.52,69.29,64.79,65.27,1783468799999,True
1783468800000,65.36,66.38,62.02,63.96,1783555199999,True
1783555200000,63.9,65.33,61.9,63.31,1783641599999,True
1783641600000,63.31,73.74,62.72,66.57,1783727999999,True
1783728000000,66.56,67.61,66.28,66.42,1783814399999,True
