open_time,open,high,low,close,close_time,is_closed
1720742400000,23.89,24.54,23.57,24.51,1720828799999,True
1720828800000,24.52,26.23,24.42,26.07,1720915199999,True
1720915200000,26.07,30.0,25.53,27.05,1721001599999,True
1721001600000,27.03,28.04,26.6,27.38,1721087999999,True
1721088000000,27.36,28.1,25.94,28.0,1721174399999,True
1721174400000,27.99,28.61,27.35,27.46,1721260799999,True
1721260800000,27.5,28.2,26.67,27.36,1721347199999,True
1721347200000,27.36,28.0,26.25,27.49,1721433599999,True
1721433600000,27.49,28.38,27.3,28.01,1721519999999,True
1721520000000,28.01,28.9,27.33,28.35,1721606399999,True
1721606400000,28.36,28.63,26.59,26.78,1721692799999,True
1721692800000,26.79,27.33,26.28,26.54,1721779199999,True
1721779200000,26.49,27.44,26.38,26.79,1721865599999,True
1721865600000,26.8,26.8,24.75,25.71,1721951999999,True
1721952000000,25.72,27.17,25.71,26.92,1722038399999,True
1722038400000,26.92,27.25,26.45,26.9,1722124799999,True
1722124800000,26.92,27.1,26.42,26.68,1722211199999,True
1722211200000,26.72,27.81,26.68,26.75,1722297599999,True
1722297600000,26.76,27.15,26.11,26.25,1722383999999,True
1722384000000,26.24,27.35,26.08,26.66,1722470399999,True
1722470400000,26.68,27.17,24.02,25.71,1722556799999,True
1722556800000,25.71,25.97,24.16,24.37,1722643199999,True
1722643200000,24.4,25.04,22.77,23.34,1722729599999,True
1722729600000,23.37,23.62,21.43,22.26,1722815999999,True
1722816000000,22.26,22.99,19.0,22.07,1722902399999,True
1722902400000,22.08,22.95,21.91,22.45,1722988799999,True
1722988800000,22.45,23.25,21.79,22.17,1723075199999,True
1723075200000,22.15,24.04,21.83,23.78,1723161599999,True
1723161600000,23.77,24.54,23.58,24.44,1723247999999,True
1723248000000,24.43,24.62,24.03,24.5,1723334399999,True
1723334400000,24.5,25.09,23.95,24.34,1723420799999,True
1723420800000,24.33,25.64,23.63,25.45,1723507199999,True
1723507200000,25.44,25.96,25.1,25.42,1723593599999,True
1723593600000,25.43,25.88,25.08,25.71,1723679999999,True
1723680000000,25.68,25.79,24.64,25.14,1723766399999,True
1723766400000,25.13,26.04,24.75,25.27,1723852799999,True
1723852800000,25.28,26.48,24.96,26.13,1723939199999,True
1723939200000,26.18,26.52,25.75,25.87,1724025599999,True
1724025600000,25.89,26.05,25.27,26.05,1724111999999,True
1724112000000,26.05,26.32,25.02,25.24,1724198399999,True
1724198400000,25.24,26.04,24.79,25.88,1724284799999,True
1724284800000,25.88,26.64,25.6,26.19,1724371199999,True
1724371200000,26.2,27.16,25.71,27.03,1724457599999,True
1724457600000,27.02,27.39,26.54,26.9,1724543999999,True
1724544000000,26.9,27.11,25.96,26.34,1724630399999,True
1724630400000,26.34,26.46,24.73,24.82,1724716799999,True
1724716800000,24.83,24.96,23.31,23.95,1724803199999,True
1724803200000,23.94,24.39,23.06,23.67,1724889599999,True
1724889600000,23.72,24.17,23.05,23.32,1724975999999,True
1724976000000,23.35,23.89,22.91,23.83,1725062399999,True
1725062400000,23.82,23.98,23.14,23.45,1725148799999,True
1725148800000,23.49,23.49,22.58,22.72,1725235199999,True
1725235200000,22.72,23.94,22.6,23.89,1725321599999,True
1725321600000,23.9,25.25,23.81,24.17,1725407999999,True
1725408000000,24.19,24.96,23.24,24.04,1725494399999,True
1725494400000,24.05,24.2,23.23,24.02,1725580799999,True
1725580800000,24.01,24.19,22.58,23.2,1725667199999,True
1725667200000,23.18,23.79,22.9,23.63,1725753599999,True
1725753600000,23.59,24.36,23.43,23.91,1725839999999,True
1725840000000,23.96,25.19,23.73,24.26,1725926399999,True
1725926400000,24.29,24.29,23.82,24.01,1726012799999,True
1726012800000,24.0,24.1,23.3,23.88,1726099199999,True
1726099200000,23.88,24.34,23.83,24.02,1726185599999,True
1726185600000,24.03,24.5,23.66,24.39,1726271999999,True
1726272000000,24.38,24.55,24.08,24.51,1726358399999,True
1726358400000,24.5,24.73,23.41,23.57,1726444799999,True
1726444800000,23.57,23.64,23.04,23.4,1726531199999,True
1726531200000,23.4,24.23,23.15,23.97,1726617599999,True
1726617600000,23.97,24.72,23.26,24.72,1726703999999,True
1726704000000,24.72,25.5,24.72,25.07,1726790399999,True
1726790400000,25.06,25.45,24.57,25.16,1726876799999,True
1726876800000,25.17,25.57,24.9,25.47,1726963199999,True
1726963200000,25.46,25.51,24.38,24.92,1727049599999,True
1727049600000,24.93,25.42,24.64,25.11,1727135999999,True
1727136000000,25.1,25.97,24.9,25.83,1727222399999,True
1727222400000,25.84,26.18,25.44,25.55,1727308799999,True
1727308800000,25.55,26.22,25.28,26.0,1727395199999,True
1727395200000,25.99,26.45,25.77,26.0,1727481599999,True
1727481600000,26.0,26.78,25.27,25.71,1727567999999,True
1727568000000,25.73,25.81,25.17,25.54,1727654399999,True
1727654400000,25.55,25.64,24.19,24.43,1727740799999,True
1727740800000,24.4,24.9,22.18,22.57,1727827199999,True
1727827200000,22.57,23.57,22.44,22.89,1727913599999,True
1727913600000,22.89,23.34,22.15,23.07,1727999999999,True
1728000000000,23.05,23.72,22.91,23.65,1728086399999,True
1728086400000,23.65,24.08,23.5,23.85,1728172799999,True
1728172800000,23.82,24.43,23.72,24.25,1728259199999,True
1728259200000,24.26,24.54,23.63,23.7,1728345599999,True
1728345600000,23.68,24.06,23.06,23.2,1728431999999,True
1728432000000,23.19,23.39,22.57,22.7,1728518399999,True
1728518400000,22.71,23.0,22.35,22.99,1728604799999,True
1728604800000,22.99,23.9,22.95,23.62,1728691199999,True
1728691200000,23.62,24.17,23.57,24.01,1728777599999,True
1728777600000,24.01,24.27,23.29,23.75,1728863999999,True
1728864000000,23.77,24.5,23.41,24.45,1728950399999,True
1728950400000,24.46,24.62,23.56,24.19,1729036799999,True
1729036800000,24.19,24.39,23.9,24.04,1729123199999,True
1729123200000,24.05,24.22,23.42,23.71,1729209599999,True
1729209600000,23.71,24.23,23.5,23.72,1729295999999,True
1729296000000,23.72,24.2,23.69,24.19,1729382399999,True
1729382400000,24.2,24.73,23.81,24.7,1729468799999,True
1729468800000,24.7,24.74,23.7,23.92,1729555199999,True
1729555200000,23.89,23.94,23.17,23.46,1729641599999,True
1729641600000,23.45,23.48,22.53,23.26,1729727999999,True
1729728000000,23.28,23.56,22.95,23.45,1729814399999,True
1729814400000,23.46,23.54,21.0,21.9,1729900799999,True
1729900800000,21.9,22.38,21.65,22.15,1729987199999,True
1729987200000,22.14,22.46,21.98,22.29,1730073599999,True
1730073600000,22.32,22.78,22.03,22.65,1730159999999,True
1730160000000,22.64,23.4,22.59,23.35,1730246399999,True
1730246400000,23.36,23.47,22.91,23.11,1730332799999,True
1730332800000,23.12,23.2,22.12,22.19,1730419199999,True
1730419200000,22.19,22.76,21.83,22.37,1730505599999,True
1730505600000,22.38,22.75,22.08,22.31,1730591999999,True
1730592000000,22.32,22.34,21.08,21.81,1730678399999,True
1730678400000,21.82,22.17,21.17,21.47,1730764799999,True
1730764800000,21.48,22.14,21.43,22.0,1730851199999,True
1730851200000,21.99,23.39,21.97,23.35,1730937599999,True
1730937600000,23.35,23.93,23.14,23.47,1731023999999,True
1731024000000,23.53,23.8,23.22,23.8,1731110399999,True
1731110400000,23.8,24.97,23.72,24.93,1731196799999,True
1731196800000,24.96,26.92,24.57,25.9,1731283199999,True
1731283200000,25.93,26.84,25.01,26.77,1731369599999,True
1731369600000,26.77,27.21,24.67,26.26,1731455999999,True
1731456000000,26.25,26.64,24.44,25.54,1731542399999,True
1731542400000,25.54,26.42,24.57,25.08,1731628799999,True
1731628800000,25.07,28.05,24.73,27.84,1731715199999,True
1731715200000,27.85,30.28,27.58,30.05,1731801599999,True
1731801600000,30.06,30.31,26.98,27.38,1731887999999,True
1731888000000,27.39,29.83,27.39,29.61,1731974399999,True
1731974400000,29.62,30.05,28.04,28.52,1732060799999,True
1732060800000,28.51,28.52,26.75,27.27,1732147199999,True
1732147200000,27.29,29.58,26.96,28.73,1732233599999,True
1732233600000,28.73,29.89,28.19,29.86,1732319999999,True
1732320000000,29.86,35.45,29.37,33.76,1732406399999,True
1732406400000,33.78,36.55,31.81,34.2,1732492799999,True
1732492800000,34.22,35.14,32.3,33.25,1732579199999,True
1732579200000,33.24,35.48,30.9,33.27,1732665599999,True
1732665600000,33.26,38.88,32.89,38.13,1732751999999,True
1732752000000,38.12,38.12,35.31,36.82,1732838399999,True
1732838400000,36.86,37.57,35.16,37.44,1732924799999,True
1732924800000,37.43,40.39,36.72,39.49,1733011199999,True
1733011200000,39.48,46.87,37.97,46.03,1733097599999,True
1733097600000,46.02,58.8,46.02,52.24,1733183999999,True
1733184000000,52.21,62.29,52.21,57.36,1733270399999,True
1733270400000,57.33,62.98,55.13,58.44,1733356799999,True
1733356800000,58.45,71.64,54.98,64.81,1733443199999,True
1733443200000,64.83,65.69,59.09,61.72,1733529599999,True
1733529600000,61.73,62.87,58.35,59.94,1733615999999,True
1733616000000,59.95,60.3,57.67,58.21,1733702399999,True
1733702400000,58.25,58.26,41.45,47.18,1733788799999,True
1733788800000,47.17,47.89,40.09,45.57,1733875199999,True
1733875200000,45.56,50.0,43.4,49.14,1733961599999,True
1733961600000,49.13,51.41,47.55,48.68,1734047999999,True
1734048000000,48.7,49.75,47.62,48.86,1734134399999,True
1734134400000,48.87,49.05,45.07,46.12,1734220799999,True
1734220800000,46.13,49.1,44.51,47.31,1734307199999,True
1734307200000,47.31,48.25,43.11,44.8,1734393599999,True
1734393600000,44.82,47.05,43.65,44.38,1734479999999,True
1734480000000,44.41,44.8,38.24,38.75,1734566399999,True
1734566400000,38.72,40.3,34.67,36.26,1734652799999,True
1734652800000,36.27,38.5,31.45,38.14,1734739199999,True
1734739200000,38.11,40.61,35.05,35.58,1734825599999,True
1734825600000,35.64,37.22,34.39,35.29,1734911999999,True
1734912000000,35.29,39.8,34.5,39.13,1734998399999,True
1734998400000,39.11,46.0,38.31,43.6,1735084799999,True
1735084800000,43.58,49.39,43.46,45.75,1735171199999,True
1735171200000,45.77,46.44,40.57,40.65,1735257599999,True
1735257600000,40.65,42.36,38.93,39.33,1735343999999,True
1735344000000,39.34,43.93,38.81,43.43,1735430399999,True
1735430400000,43.44,43.88,39.35,39.78,1735516799999,True
1735516800000,39.78,41.67,37.46,38.54,1735603199999,True
1735603200000,38.51,39.55,37.51,37.91,1735689599999,True
1735689600000,37.93,40.65,37.2,39.4,1735775999999,True
1735776000000,39.39,41.3,38.84,40.29,1735862399999,True
1735862400000,40.3,43.89,39.27,43.16,1735948799999,True
1735948800000,43.16,43.7,42.07,42.69,1736035199999,True
1736035200000,42.7,44.54,42.01,43.7,1736121599999,True
1736121600000,43.72,44.7,42.5,43.81,1736207999999,True
1736208000000,43.81,43.81,38.5,38.66,1736294399999,True
1736294400000,38.66,39.25,35.41,37.61,1736380799999,True
1736380800000,37.61,38.17,35.61,36.85,1736467199999,True
1736467200000,36.85,37.77,36.08,37.56,1736553599999,True
1736553600000,37.54,37.88,36.71,37.29,1736639999999,True
1736640000000,37.3,37.56,36.36,36.84,1736726399999,True
1736726400000,36.87,37.75,33.0,35.41,1736812799999,True
1736812800000,35.41,37.99,35.13,37.75,1736899199999,True
1736899200000,37.74,40.34,36.8,40.1,1736985599999,True
1736985600000,40.12,40.77,38.56,39.49,1737071999999,True
1737072000000,39.53,44.53,39.49,43.56,1737158399999,True
1737158400000,43.59,44.31,39.04,40.0,1737244799999,True
1737244800000,40.0,40.63,35.01,35.72,1737331199999,True
1737331200000,35.72,39.22,34.64,36.3,1737417599999,True
1737417600000,36.3,38.15,34.38,36.86,1737503999999,True
1737504000000,36.85,37.55,35.62,35.83,1737590399999,True
1737590400000,35.83,36.41,34.49,35.5,1737676799999,True
1737676800000,35.51,36.13,34.28,34.99,1737763199999,True
1737763200000,34.97,35.67,34.54,35.22,1737849599999,True
1737849600000,35.23,35.67,33.78,33.81,1737935999999,True
1737936000000,33.81,33.94,30.59,33.2,1738022399999,True
1738022400000,33.23,33.6,30.81,31.02,1738108799999,True
1738108800000,31.0,33.15,30.76,32.09,1738195199999,True
1738195200000,32.11,34.92,31.81,34.1,1738281599999,True
1738281600000,34.11,35.09,33.1,33.91,1738367999999,True
1738368000000,33.88,34.8,30.4,30.43,1738454399999,True
1738454400000,30.44,31.3,25.26,26.89,1738540799999,True
1738540800000,26.83,27.16,20.1,26.88,1738627199999,True
1738627200000,26.88,27.24,24.18,25.68,1738713599999,True
1738713600000,25.65,26.36,25.0,25.32,1738799999999,True
1738800000000,25.35,25.8,23.94,24.56,1738886399999,True
1738886400000,24.56,26.25,24.15,25.04,1738972799999,True
1738972800000,25.03,25.81,24.43,25.77,1739059199999,True
1739059200000,25.77,26.67,24.77,25.8,1739145599999,True
1739145600000,25.79,27.08,25.02,27.08,1739231999999,True
1739232000000,27.07,28.4,26.36,27.01,1739318399999,True
1739318400000,27.0,28.0,25.67,27.92,1739404799999,True
1739404800000,27.92,28.62,26.96,27.74,1739491199999,True
1739491200000,27.72,29.06,27.17,27.95,1739577599999,True
1739577600000,27.97,28.28,26.88,27.07,1739663999999,True
1739664000000,27.07,27.4,26.57,26.77,1739750399999,True
1739750400000,26.77,27.43,25.93,26.48,1739836799999,True
1739836800000,26.49,26.58,24.95,25.78,1739923199999,True
1739923200000,25.78,26.59,25.43,26.54,1740009599999,True
1740009600000,26.49,27.92,26.31,27.66,1740095999999,True
1740096000000,27.65,28.55,26.28,26.62,1740182399999,True
1740182400000,26.61,27.63,26.5,27.36,1740268799999,True
1740268800000,27.36,27.78,26.76,27.1,1740355199999,True
1740355200000,27.1,27.18,23.83,24.13,1740441599999,True
1740441600000,24.14,25.35,22.76,25.34,1740527999999,True
1740528000000,25.33,26.66,24.82,26.39,1740614399999,True
1740614400000,26.4,27.16,25.24,26.19,1740700799999,True
1740700800000,26.16,26.29,23.97,25.92,1740787199999,True
1740787200000,25.92,26.47,24.75,25.46,1740873599999,True
1740873600000,25.44,28.0,25.1,27.34,1740959999999,True
1740960000000,27.34,27.53,23.77,24.06,1741046399999,True
1741046400000,24.06,24.54,22.0,24.18,1741132799999,True
1741132800000,24.16,25.01,23.83,24.96,1741219199999,True
1741219200000,24.94,25.4,24.22,24.41,1741305599999,True
1741305600000,24.41,25.01,23.26,24.23,1741391999999,True
1741392000000,24.17,24.51,23.77,24.08,1741478399999,True
1741478400000,24.07,24.27,21.66,21.99,1741564799999,True
1741564800000,22.01,23.2,20.58,20.99,1741651199999,True
1741651200000,20.98,22.35,19.82,21.73,1741737599999,True
1741737600000,21.76,22.39,21.11,22.17,1741823999999,True
1741824000000,22.16,22.5,21.54,22.14,1741910399999,True
1741910400000,22.16,23.09,22.12,22.62,1741996799999,True
