open_time,open,high,low,close,close_time,is_closed
1626998400000,3.967,33.0,3.967,7.165,1627084799999,True
1627084800000,7.165,23.6,6.444,19.514,1627171199999,True
1627171200000,19.516,23.0,16.155,17.352,1627257599999,True
1627257600000,17.351,18.618,12.525,13.341,1627343999999,True
1627344000000,13.284,17.13,11.701,15.166,1627430399999,True
1627430400000,15.128,15.5,13.179,13.725,1627516799999,True
1627516800000,13.724,13.949,12.428,12.601,1627603199999,True
1627603200000,12.602,15.419,11.401,12.601,1627689599999,True
1627689600000,12.607,13.669,12.601,12.965,1627775999999,True
1627776000000,13.037,13.09,11.739,11.828,1627862399999,True
1627862400000,11.83,12.2,11.622,11.74,1627948799999,True
1627948800000,11.74,12.285,10.485,11.165,1628035199999,True
1628035200000,11.164,11.9,11.0,11.399,1628121599999,True
1628121600000,11.398,12.2,10.562,11.05,1628207999999,True
1628208000000,11.072,11.88,10.703,11.014,1628294399999,True
1628294400000,11.044,11.65,10.96,11.096,1628380799999,True
1628380800000,11.112,17.8,11.0,15.431,1628467199999,True
1628467200000,15.476,15.478,12.69,13.381,1628553599999,True
1628553600000,13.381,13.62,12.583,12.884,1628639999999,True
1628640000000,12.853,13.757,12.3,12.344,1628726399999,True
1628726400000,12.31,13.18,12.162,12.6,1628812799999,True
1628812800000,12.6,13.249,12.451,12.889,1628899199999,True
1628899200000,12.891,14.99,12.185,12.777,1628985599999,True
1628985600000,12.776,12.873,12.21,12.578,1629071999999,True
1629072000000,12.562,13.437,12.24,12.469,1629158399999,True
1629158400000,12.445,13.004,11.302,11.429,1629244799999,True
1629244800000,11.436,12.057,10.994,11.294,1629331199999,True
1629331200000,11.294,11.85,10.727,11.55,1629417599999,True
1629417600000,11.585,12.269,11.4,11.969,1629503999999,True
1629504000000,11.966,13.487,11.7,11.873,1629590399999,True
1629590400000,11.897,12.375,11.386,11.728,1629676799999,True
1629676800000,11.709,12.08,11.52,11.782,1629763199999,True
1629763200000,11.802,12.84,11.255,11.596,1629849599999,True
1629849600000,11.595,22.721,11.42,16.8,1629935999999,True
1629936000000,16.838,20.45,14.55,16.98,1630022399999,True
1630022400000,16.99,21.32,16.63,17.59,1630108799999,True
1630108800000,17.58,18.1,16.3,16.67,1630195199999,True
1630195200000,16.6,16.7,14.7,15.47,1630281599999,True
1630281600000,15.49,16.5,13.99,14.86,1630367999999,True
1630368000000,14.86,19.53,14.71,15.98,1630454399999,True
1630454400000,15.96,18.0,15.42,17.19,1630540799999,True
1630540800000,17.14,17.8,15.77,15.82,1630627199999,True
1630627200000,15.82,16.3,15.32,15.51,1630713599999,True
1630713600000,15.49,15.8,15.01,15.11,1630799999999,True
1630800000000,15.11,16.2,14.79,15.32,1630886399999,True
1630886400000,15.33,17.73,15.07,16.24,1630972799999,True
1630972800000,16.24,16.99,9.81,11.98,1631059199999,True
1631059200000,12.03,13.3,11.0,12.29,1631145599999,True
1631145600000,12.26,13.51,11.5,12.24,1631231999999,True
1631232000000,12.23,12.49,11.08,11.42,1631318399999,True
1631318400000,11.44,12.41,11.03,11.48,1631404799999,True
1631404800000,11.48,16.5,11.22,14.17,1631491199999,True
1631491200000,14.17,14.34,11.53,12.12,1631577599999,True
1631577600000,12.09,12.74,12.0,12.38,1631663999999,True
1631664000000,12.38,13.31,12.17,12.55,1631750399999,True
1631750400000,12.59,14.02,12.5,13.19,1631836799999,True
1631836800000,13.19,15.75,12.72,13.04,1631923199999,True
1631923200000,12.98,13.94,12.8,13.59,1632009599999,True
1632009600000,13.61,15.36,13.31,13.69,1632095999999,True
1632096000000,13.7,15.47,11.73,11.83,1632182399999,True
1632182400000,11.87,12.8,11.15,11.51,1632268799999,True
1632268800000,11.54,12.66,11.43,12.46,1632355199999,True
1632355200000,12.49,12.98,11.97,12.45,1632441599999,True
1632441600000,12.47,12.7,10.93,11.7,1632527999999,True
1632528000000,11.69,12.15,11.23,11.59,1632614399999,True
1632614400000,11.57,13.95,10.8,12.53,1632700799999,True
1632700800000,12.54,13.89,11.93,11.96,1632787199999,True
1632787200000,11.97,12.36,11.47,11.51,1632873599999,True
1632873600000,11.54,12.39,11.41,11.65,1632959999999,True
1632960000000,11.65,12.24,11.56,12.12,1633046399999,True
1633046400000,12.11,13.2,12.06,12.85,1633132799999,True
1633132800000,12.87,13.93,12.55,12.8,1633219199999,True
1633219200000,12.79,13.16,12.58,12.91,1633305599999,True
1633305600000,12.89,13.03,12.27,12.62,1633391999999,True
1633392000000,12.6,15.1,12.51,13.83,1633478399999,True
1633478400000,13.84,14.33,12.74,13.26,1633564799999,True
1633564800000,13.23,13.55,12.75,12.96,1633651199999,True
1633651200000,12.98,13.44,12.52,12.65,1633737599999,True
1633737600000,12.61,12.99,12.56,12.67,1633823999999,True
1633824000000,12.68,13.37,12.32,12.37,1633910399999,True
1633910400000,12.34,12.79,12.04,12.33,1633996799999,True
1633996800000,12.29,12.5,11.65,12.33,1634083199999,True
1634083200000,12.34,14.09,11.94,12.58,1634169599999,True
1634169600000,12.58,13.28,12.56,12.66,1634255999999,True
1634256000000,12.65,13.95,12.3,13.26,1634342399999,True
1634342400000,13.26,13.26,12.71,12.92,1634428799999,True
1634428800000,12.89,14.6,12.44,12.77,1634515199999,True
1634515200000,12.78,13.26,12.51,12.71,1634601599999,True
1634601600000,12.68,13.0,12.58,12.77,1634687999999,True
1634688000000,12.77,13.42,12.66,13.03,1634774399999,True
1634774400000,13.02,13.3,12.54,12.93,1634860799999,True
1634860800000,12.94,13.76,12.8,13.2,1634947199999,True
1634947200000,13.23,14.7,13.0,13.89,1635033599999,True
1635033600000,13.88,14.2,12.9,13.15,1635119999999,True
1635120000000,13.15,13.69,13.03,13.25,1635206399999,True
1635206400000,13.26,13.32,12.96,13.06,1635292799999,True
1635292800000,13.03,13.33,11.9,12.0,1635379199999,True
1635379200000,12.0,12.27,11.65,12.1,1635465599999,True
1635465600000,12.1,12.64,12.0,12.25,1635551999999,True
1635552000000,12.3,13.05,12.2,12.34,1635638399999,True
1635638400000,12.34,12.8,11.95,12.19,1635724799999,True
1635724800000,12.2,12.4,11.97,12.37,1635811199999,True
1635811200000,12.36,12.6,12.16,12.5,1635897599999,True
1635897600000,12.5,13.09,12.24,12.78,1635983999999,True
1635984000000,12.79,13.42,12.61,12.92,1636070399999,True
1636070400000,12.92,13.52,12.73,13.24,1636156799999,True
1636156800000,13.24,13.25,12.5,12.83,1636243199999,True
1636243200000,12.86,12.99,12.6,12.68,1636329599999,True
1636329600000,12.67,12.94,12.5,12.67,1636415999999,True
1636416000000,12.67,12.74,12.37,12.48,1636502399999,True
1636502400000,12.48,12.87,12.06,12.08,1636588799999,True
1636588800000,12.09,12.62,11.96,12.57,1636675199999,True
1636675200000,12.58,12.62,11.74,12.13,1636761599999,True
1636761600000,12.1,13.4,11.94,13.15,1636847999999,True
1636848000000,13.15,13.96,12.72,13.24,1636934399999,True
1636934400000,13.25,13.49,12.55,12.77,1637020799999,True
1637020800000,12.75,12.78,11.88,12.45,1637107199999,True
1637107200000,12.44,12.56,12.07,12.28,1637193599999,True
1637193600000,12.27,12.47,11.28,11.38,1637279999999,True
1637280000000,11.41,12.06,11.28,11.89,1637366399999,True
1637366400000,11.92,12.92,11.44,12.75,1637452799999,True
1637452800000,12.75,20.65,12.28,14.5,1637539199999,True
1637539200000,14.51,18.0,14.0,14.03,1637625599999,True
1637625600000,14.0,14.6,13.15,14.26,1637711999999,True
1637712000000,14.26,14.4,12.73,13.08,1637798399999,True
1637798400000,13.1,13.95,12.89,13.14,1637884799999,True
1637884800000,13.15,17.87,12.66,15.87,1637971199999,True
1637971200000,15.81,19.53,14.26,14.94,1638057599999,True
1638057600000,14.91,15.1,12.8,13.93,1638143999999,True
1638144000000,13.93,14.48,13.44,14.09,1638230399999,True
1638230400000,14.08,16.99,13.16,14.93,1638316799999,True
1638316800000,14.93,16.87,14.58,14.78,1638403199999,True
1638403200000,14.77,15.04,13.8,13.91,1638489599999,True
1638489600000,13.94,17.28,13.5,15.53,1638575999999,True
1638576000000,15.53,27.22,12.24,19.06,1638662399999,True
