open_time,open,high,low,close,close_time,is_closed
1597708800000,2.09,4.44,2.0,3.1,1597795199999,True
1597795200000,3.1,3.1999,2.64,2.95,1597881599999,True
1597881600000,2.9449,3.1111,2.6,2.9,1597967999999,True
1597968000000,2.8978,3.09,2.6826,2.833,1598054399999,True
1598054400000,2.8387,4.55,2.782,4.4546,1598140799999,True
1598140800000,4.4756,4.4864,3.7032,3.9779,1598227199999,True
1598227200000,3.9805,4.7983,3.78,4.5759,1598313599999,True
1598313600000,4.5759,5.77,4.48,5.5412,1598399999999,True
1598400000000,5.5412,6.57,5.1015,6.0708,1598486399999,True
1598486400000,6.0708,6.8,5.2001,5.6547,1598572799999,True
1598572800000,5.6569,6.35,5.462,6.1812,1598659199999,True
1598659200000,6.1769,6.556,6.0032,6.1333,1598745599999,True
1598745600000,6.1339,6.251,5.6999,5.8912,1598831999999,True
1598832000000,5.8875,6.4662,5.7541,6.2718,1598918399999,True
1598918400000,6.2712,6.8619,6.12,6.239,1599004799999,True
1599004800000,6.24,6.4472,5.58,6.1374,1599091199999,True
1599091200000,6.1375,6.3325,5.5471,5.6743,1599177599999,True
1599177600000,5.6743,5.99,4.5,5.1019,1599263999999,True
1599264000000,5.0987,5.3147,3.5321,4.1456,1599350399999,True
1599350400000,4.1456,4.921,3.7298,4.784,1599436799999,True
1599436800000,4.7849,4.8367,4.001,4.5944,1599523199999,True
1599523200000,4.5967,4.6339,4.1067,4.2787,1599609599999,True
1599609600000,4.2657,4.7935,4.077,4.7003,1599695999999,True
1599696000000,4.7003,4.8894,4.4308,4.5796,1599782399999,True
1599782400000,4.5781,4.75,4.31,4.6498,1599868799999,True
1599868800000,4.6433,5.296,4.4998,5.1385,1599955199999,True
1599955200000,5.1379,5.4771,4.7668,5.3213,1600041599999,True
1600041600000,5.3198,5.5761,5.0911,5.3555,1600127999999,True
1600128000000,5.3597,5.45,5.012,5.0535,1600214399999,True
1600214400000,5.0535,5.28,4.9578,5.0712,1600300799999,True
1600300800000,5.0739,5.4261,5.043,5.3354,1600387199999,True
1600387200000,5.3313,5.455,5.0939,5.2616,1600473599999,True
1600473600000,5.2595,5.264,4.7862,4.924,1600559999999,True
1600560000000,4.9205,4.9707,4.3715,4.6518,1600646399999,True
1600646400000,4.656,4.6969,3.91,4.0691,1600732799999,True
1600732800000,4.07,4.2103,3.9,4.1625,1600819199999,True
1600819200000,4.1623,4.3241,3.94,4.0077,1600905599999,True
1600905600000,4.0128,4.49,3.9616,4.3782,1600991999999,True
1600992000000,4.3784,4.5299,4.241,4.4139,1601078399999,True
1601078400000,4.4139,4.4819,4.224,4.3308,1601164799999,True
1601164800000,4.3329,4.3641,4.1152,4.2962,1601251199999,True
1601251200000,4.2999,4.5939,4.2474,4.4501,1601337599999,True
1601337600000,4.45,4.6112,4.331,4.4969,1601423999999,True
1601424000000,4.497,4.5,4.2288,4.3458,1601510399999,True
1601510400000,4.3459,4.5858,4.2317,4.3468,1601596799999,True
1601596800000,4.3427,4.3621,3.8882,4.1282,1601683199999,True
1601683200000,4.128,4.1349,4.0263,4.0607,1601769599999,True
1601769600000,4.0606,4.199,4.0111,4.177,1601855999999,True
1601856000000,4.1744,4.25,4.106,4.1621,1601942399999,True
1601942400000,4.1589,4.18,3.606,3.7465,1602028799999,True
1602028800000,3.7461,3.8964,3.6,3.8517,1602115199999,True
1602115200000,3.8538,4.1625,3.6333,4.1163,1602201599999,True
1602201600000,4.1145,4.35,4.0087,4.2541,1602287999999,True
1602288000000,4.2546,4.489,4.23,4.2606,1602374399999,True
1602374400000,4.2579,4.3355,4.1683,4.245,1602460799999,True
1602460800000,4.2464,4.4501,4.1899,4.3075,1602547199999,True
1602547200000,4.3099,4.3464,4.1302,4.2473,1602633599999,True
1602633600000,4.2515,4.3795,4.0836,4.1829,1602719999999,True
1602720000000,4.1816,4.1873,4.02,4.099,1602806399999,True
1602806400000,4.099,4.1562,3.8,3.9106,1602892799999,True
1602892800000,3.9132,3.9799,3.8607,3.9663,1602979199999,True
1602979200000,3.9652,4.125,3.954,4.1068,1603065599999,True
1603065600000,4.107,4.1229,3.9501,3.986,1603151999999,True
1603152000000,3.9843,4.149,3.8641,3.9034,1603238399999,True
1603238400000,3.9034,4.26,3.8907,4.1352,1603324799999,True
1603324800000,4.1329,4.338,4.1234,4.2683,1603411199999,True
1603411200000,4.2696,4.48,4.185,4.2633,1603497599999,True
1603497600000,4.264,4.43,4.2381,4.3536,1603583999999,True
1603584000000,4.35,4.4495,4.2588,4.331,1603670399999,True
1603670400000,4.3315,4.7475,4.2906,4.7031,1603756799999,True
1603756800000,4.7064,4.95,4.6429,4.6721,1603843199999,True
1603843200000,4.6723,4.78,4.252,4.357,1603929599999,True
1603929600000,4.3569,4.4115,3.8469,4.0605,1604015999999,True
1604016000000,4.0605,4.162,3.9153,4.0845,1604102399999,True
1604102400000,4.0843,4.282,4.0574,4.1854,1604188799999,True
1604188800000,4.1833,4.225,4.1079,4.2211,1604275199999,True
1604275200000,4.2211,4.2627,3.96,4.0316,1604361599999,True
1604361600000,4.0272,4.0694,3.8842,4.0362,1604447999999,True
1604448000000,4.0377,4.1556,3.8915,4.0969,1604534399999,True
1604534400000,4.0988,4.3,4.0105,4.2229,1604620799999,True
1604620800000,4.2248,4.64,4.202,4.5826,1604707199999,True
1604707200000,4.5837,4.8586,4.08,4.2341,1604793599999,True
