open_time,open,high,low,close,close_time,is_closed
1712016000000,0.3,0.913,0.3,0.775,1712102399999,True
1712102400000,0.775,1.32,0.703,1.134,1712188799999,True
1712188800000,1.134,1.168,0.907,0.97,1712275199999,True
1712275200000,0.97,1.069,0.861,1.018,1712361599999,True
1712361600000,1.018,1.194,0.962,1.089,1712447999999,True
1712448000000,1.089,1.271,1.059,1.19,1712534399999,True
1712534400000,1.191,1.36,1.07,1.293,1712620799999,True
1712620800000,1.293,1.405,1.192,1.241,1712707199999,True
1712707200000,1.241,1.51,1.223,1.461,1712793599999,True
1712793600000,1.461,1.523,1.35,1.372,1712879999999,True
1712880000000,1.372,1.484,1.08,1.278,1712966399999,True
1712966400000,1.278,1.341,0.904,1.046,1713052799999,True
1713052800000,1.047,1.22,0.986,1.209,1713139199999,True
1713139200000,1.209,1.218,1.021,1.057,1713225599999,True
1713225600000,1.056,1.08,0.891,0.979,1713311999999,True
1713312000000,0.98,1.059,0.904,0.925,1713398399999,True
1713398400000,0.924,0.95,0.819,0.913,1713484799999,True
1713484800000,0.913,1.044,0.816,0.968,1713571199999,True
1713571200000,0.969,1.121,0.948,1.083,1713657599999,True
1713657600000,1.082,1.108,1.025,1.05,1713743999999,True
1713744000000,1.05,1.1,1.026,1.05,1713830399999,True
1713830400000,1.05,1.068,0.931,0.939,1713916799999,True
1713916800000,0.938,0.985,0.86,0.874,1714003199999,True
1714003200000,0.874,0.906,0.833,0.871,1714089599999,True
1714089600000,0.871,0.887,0.812,0.824,1714175999999,True
1714176000000,0.824,0.847,0.77,0.84,1714262399999,True
1714262400000,0.841,0.896,0.832,0.849,1714348799999,True
1714348800000,0.848,0.944,0.775,0.926,1714435199999,True
1714435200000,0.926,0.939,0.792,0.814,1714521599999,True
1714521600000,0.814,0.831,0.735,0.798,1714607999999,True
1714608000000,0.799,0.832,0.765,0.798,1714694399999,True
1714694400000,0.797,0.878,0.783,0.852,1714780799999,True
1714780800000,0.852,0.875,0.82,0.828,1714867199999,True
1714867200000,0.828,0.832,0.795,0.812,1714953599999,True
1714953600000,0.813,0.936,0.81,0.892,1715039999999,True
1715040000000,0.892,1.005,0.856,0.92,1715126399999,True
1715126400000,0.92,0.953,0.855,0.874,1715212799999,True
1715212800000,0.874,0.911,0.849,0.893,1715299199999,True
1715299200000,0.894,0.938,0.824,0.847,1715385599999,True
1715385600000,0.847,0.872,0.838,0.842,1715471999999,True
1715472000000,0.841,0.854,0.819,0.83,1715558399999,True
1715558400000,0.83,0.836,0.755,0.768,1715644799999,True
1715644800000,0.767,0.774,0.672,0.693,1715731199999,True
1715731200000,0.694,0.749,0.666,0.734,1715817599999,True
1715817600000,0.735,0.754,0.653,0.671,1715903999999,True
1715904000000,0.672,0.749,0.669,0.719,1715990399999,True
1715990400000,0.72,0.795,0.703,0.754,1716076799999,True
1716076800000,0.753,0.758,0.697,0.713,1716163199999,True
1716163200000,0.713,0.849,0.69,0.832,1716249599999,True
1716249600000,0.833,0.902,0.82,0.886,1716335999999,True
1716336000000,0.886,0.896,0.803,0.853,1716422399999,True
1716422400000,0.853,0.909,0.831,0.866,1716508799999,True
1716508800000,0.866,0.92,0.832,0.851,1716595199999,True
1716595200000,0.852,0.952,0.846,0.912,1716681599999,True
1716681600000,0.913,0.972,0.902,0.921,1716767999999,True
1716768000000,0.922,0.956,0.891,0.921,1716854399999,True
1716854400000,0.921,0.927,0.859,0.894,1716940799999,True
1716940800000,0.893,0.908,0.833,0.837,1717027199999,True
1717027200000,0.837,0.902,0.813,0.871,1717113599999,True
1717113600000,0.872,0.909,0.86,0.878,1717199999999,True
1717200000000,0.879,0.939,0.873,0.91,1717286399999,True
1717286400000,0.911,0.935,0.878,0.92,1717372799999,True
1717372800000,0.921,1.042,0.903,1.027,1717459199999,True
1717459200000,1.027,1.082,0.938,0.978,1717545599999,True
1717545600000,0.977,0.996,0.934,0.979,1717631999999,True
1717632000000,0.98,1.008,0.94,0.952,1717718399999,True
1717718400000,0.952,0.966,0.791,0.885,1717804799999,True
1717804800000,0.885,0.891,0.814,0.831,1717891199999,True
1717891200000,0.831,0.84,0.81,0.831,1717977599999,True
1717977600000,0.831,0.831,0.769,0.771,1718063999999,True
1718064000000,0.771,0.775,0.7,0.71,1718150399999,True
1718150400000,0.709,0.798,0.684,0.731,1718236799999,True
1718236800000,0.731,0.731,0.677,0.697,1718323199999,True
1718323200000,0.697,0.735,0.661,0.71,1718409599999,True
1718409600000,0.71,0.75,0.695,0.748,1718495999999,True
1718496000000,0.749,0.777,0.724,0.767,1718582399999,True
1718582400000,0.767,0.773,0.666,0.676,1718668799999,True
1718668800000,0.676,0.677,0.554,0.627,1718755199999,True
1718755200000,0.628,0.687,0.621,0.635,1718841599999,True
1718841600000,0.635,0.668,0.6,0.613,1718927999999,True
1718928000000,0.613,0.626,0.594,0.6,1719014399999,True
1719014400000,0.6,0.611,0.585,0.602,1719100799999,True
1719100800000,0.602,0.612,0.558,0.568,1719187199999,True
1719187200000,0.568,0.573,0.513,0.558,1719273599999,True
