open_time,open,high,low,close,close_time,is_closed
1720742400000,1.086,1.0895,1.0851,1.0888,1720828799999,True
1720828800000,1.0888,1.1118,1.0888,1.0955,1720915199999,True
1720915200000,1.0955,1.1062,1.0888,1.0889,1721001599999,True
1721001600000,1.0889,1.0916,1.0869,1.0888,1721087999999,True
1721088000000,1.0887,1.0903,1.0854,1.089,1721174399999,True
1721174400000,1.0889,1.0932,1.088,1.0927,1721260799999,True
1721260800000,1.0926,1.0928,1.089,1.0891,1721347199999,True
1721347200000,1.089,1.0893,1.0869,1.0888,1721433599999,True
1721433600000,1.0888,1.0895,1.0886,1.0891,1721519999999,True
1721520000000,1.0891,1.0986,1.0884,1.0981,1721606399999,True
1721606400000,1.0982,1.0985,1.0863,1.0882,1721692799999,True
1721692800000,1.0883,1.0915,1.084,1.0857,1721779199999,True
1721779200000,1.0857,1.0858,1.0823,1.0832,1721865599999,True
1721865600000,1.0832,1.0862,1.0827,1.0844,1721951999999,True
1721952000000,1.0844,1.0864,1.0834,1.0856,1722038399999,True
1722038400000,1.0857,1.0866,1.0856,1.0865,1722124799999,True
1722124800000,1.0865,1.0893,1.0856,1.0858,1722211199999,True
1722211200000,1.0858,1.0874,1.0808,1.0817,1722297599999,True
1722297600000,1.0818,1.0832,1.0796,1.0805,1722383999999,True
1722384000000,1.0806,1.0844,1.0802,1.0818,1722470399999,True
1722470400000,1.0817,1.0832,1.0775,1.0794,1722556799999,True
1722556800000,1.0794,1.0926,1.0789,1.0858,1722643199999,True
1722643200000,1.0858,1.0892,1.0834,1.0857,1722729599999,True
1722729600000,1.0857,1.0889,1.0809,1.0881,1722815999999,True
1722816000000,1.0882,1.0965,1.0781,1.0901,1722902399999,True
1722902400000,1.09,1.0935,1.0839,1.0894,1722988799999,True
1722988800000,1.0895,1.0923,1.0887,1.0918,1723075199999,True
1723075200000,1.0918,1.0931,1.0821,1.0905,1723161599999,True
1723161600000,1.0905,1.0915,1.0896,1.0899,1723247999999,True
1723248000000,1.0899,1.09,1.0878,1.0889,1723334399999,True
1723334400000,1.089,1.0905,1.0888,1.0901,1723420799999,True
1723420800000,1.09,1.0926,1.0893,1.0925,1723507199999,True
1723507200000,1.0925,1.0987,1.0902,1.0982,1723593599999,True
1723593600000,1.0982,1.1036,1.0978,1.1,1723679999999,True
1723680000000,1.1001,1.101,1.0941,1.0959,1723766399999,True
1723766400000,1.096,1.1017,1.0959,1.1013,1723852799999,True
1723852800000,1.1013,1.1014,1.0999,1.1001,1723939199999,True
1723939200000,1.1001,1.1021,1.1,1.1013,1724025599999,True
1724025600000,1.1013,1.1076,1.1011,1.1075,1724111999999,True
1724112000000,1.1074,1.1121,1.1062,1.112,1724198399999,True
1724198400000,1.112,1.119,1.1101,1.1159,1724284799999,True
1724284800000,1.116,1.1161,1.1086,1.1105,1724371199999,True
1724371200000,1.1106,1.1193,1.1101,1.1191,1724457599999,True
1724457600000,1.1191,1.1202,1.119,1.12,1724543999999,True
1724544000000,1.12,1.1299,1.1198,1.1213,1724630399999,True
1724630400000,1.1213,1.1214,1.1141,1.1154,1724716799999,True
1724716800000,1.1153,1.1181,1.1142,1.1159,1724803199999,True
1724803200000,1.1158,1.1164,1.1092,1.1113,1724889599999,True
1724889600000,1.1113,1.1124,1.1044,1.1067,1724975999999,True
1724976000000,1.1067,1.1084,1.1037,1.1038,1725062399999,True
1725062400000,1.1038,1.1062,1.1037,1.1052,1725148799999,True
1725148800000,1.1051,1.1056,1.1027,1.103,1725235199999,True
1725235200000,1.103,1.1069,1.1027,1.1058,1725321599999,True
1725321600000,1.1058,1.1062,1.1023,1.1046,1725407999999,True
1725408000000,1.1046,1.109,1.1034,1.1072,1725494399999,True
1725494400000,1.1072,1.1199,1.1068,1.1107,1725580799999,True
1725580800000,1.1107,1.1152,1.1001,1.1033,1725667199999,True
1725667200000,1.1034,1.1062,1.1033,1.105,1725753599999,True
1725753600000,1.105,1.106,1.105,1.1059,1725839999999,True
1725840000000,1.1059,1.1068,1.1023,1.1028,1725926399999,True
1725926400000,1.1028,1.1043,1.1012,1.1015,1726012799999,True
1726012800000,1.1015,1.1047,1.0997,1.1008,1726099199999,True
1726099200000,1.1008,1.1071,1.1002,1.1071,1726185599999,True
1726185600000,1.107,1.1096,1.107,1.1075,1726271999999,True
1726272000000,1.1075,1.111,1.1075,1.1082,1726358399999,True
