open_time,open,high,low,close,close_time,is_closed
1602720000000,10.0,430.0,10.0,62.5418,1602806399999,True
1602806400000,62.5902,75.8725,38.8302,44.348,1602892799999,True
1602892800000,44.3512,50.6273,40.3325,42.24,1602979199999,True
1602979200000,42.2364,42.3136,31.7722,32.4049,1603065599999,True
1603065600000,32.3569,35.0,29.9321,33.9755,1603151999999,True
1603152000000,33.9203,34.0,30.1783,31.175,1603238399999,True
1603238400000,31.1293,31.8875,26.5013,26.5028,1603324799999,True
1603324800000,26.5197,26.8362,22.6,23.739,1603411199999,True
1603411200000,23.707,25.7,20.6023,23.8771,1603497599999,True
1603497600000,23.8806,26.7346,22.257,25.8076,1603583999999,True
1603584000000,25.7672,39.7777,25.3386,38.6663,1603670399999,True
1603670400000,38.7826,40.8939,31.9795,33.7887,1603756799999,True
1603756800000,33.854,37.9,32.6056,35.1693,1603843199999,True
1603843200000,35.1506,36.5,32.6309,33.6161,1603929599999,True
1603929600000,33.5782,34.1836,31.8001,32.52,1604015999999,True
1604016000000,32.52,32.52,28.5677,29.2175,1604102399999,True
1604102400000,29.2173,32.431,28.1306,31.2848,1604188799999,True
1604188800000,31.3196,31.8877,30.5975,31.6076,1604275199999,True
1604275200000,31.5645,31.9782,29.36,29.6401,1604361599999,True
1604361600000,29.6254,29.685,27.9081,28.8364,1604447999999,True
1604448000000,28.8386,29.5325,28.1668,28.8967,1604534399999,True
1604534400000,28.8979,30.2522,28.3853,29.3544,1604620799999,True
1604620800000,29.3518,33.3,29.1761,31.6801,1604707199999,True
1604707200000,31.7016,33.3249,29.3275,29.9356,1604793599999,True
1604793600000,29.9355,31.1902,29.5915,30.7588,1604879999999,True
1604880000000,30.7588,32.3992,30.3332,31.2188,1604966399999,True
1604966400000,31.2116,31.3165,30.2852,30.3614,1605052799999,True
1605052800000,30.3614,30.9654,29.8457,30.0939,1605139199999,True
1605139200000,30.1095,30.3338,28.6667,29.4952,1605225599999,True
1605225600000,29.4851,30.0507,29.0847,29.155,1605311999999,True
1605312000000,29.16,29.4685,28.4731,29.2753,1605398399999,True
1605398400000,29.2825,29.3447,27.4413,27.7306,1605484799999,True
1605484800000,27.7306,28.016,27.1839,27.448,1605571199999,True
1605571200000,27.4414,30.0167,27.3292,29.111,1605657599999,True
1605657600000,29.1068,29.7911,27.7213,28.8206,1605743999999,True
1605744000000,28.8202,29.3398,28.3821,28.8326,1605830399999,True
1605830400000,28.8452,30.0,28.7314,29.0516,1605916799999,True
1605916800000,29.0497,31.1452,28.8075,29.9369,1606003199999,True
1606003200000,29.9369,30.2187,28.5873,28.9382,1606089599999,True
1606089600000,28.9279,29.48,28.7314,29.1832,1606175999999,True
1606176000000,29.1856,31.0,29.0002,29.7757,1606262399999,True
1606262400000,29.7589,35.3122,29.5,31.0128,1606348799999,True
1606348800000,30.9917,32.0301,28.8302,29.8835,1606435199999,True
1606435200000,29.8926,30.5211,29.2857,29.9387,1606521599999,True
1606521600000,29.9194,30.3754,29.6572,29.943,1606607999999,True
1606608000000,29.9428,30.2,29.7272,30.0018,1606694399999,True
1606694400000,30.0193,30.8965,30.0016,30.3751,1606780799999,True
1606780800000,30.3768,31.9769,29.7195,30.323,1606867199999,True
1606867200000,30.3229,31.2971,30.1,30.5754,1606953599999,True
1606953600000,30.5613,30.9001,30.2109,30.4246,1607039999999,True
1607040000000,30.4205,30.5283,28.9173,29.0085,1607126399999,True
1607126400000,29.0061,30.1836,28.9174,29.8579,1607212799999,True
1607212800000,29.8593,30.0782,29.0152,29.3247,1607299199999,True
1607299200000,29.3252,34.0,29.2744,30.473,1607385599999,True
1607385600000,30.4823,30.9461,29.7,29.937,1607471999999,True
1607472000000,29.9322,31.4006,29.6552,30.5,1607558399999,True
1607558400000,30.5001,32.8,30.4599,30.538,1607644799999,True
1607644800000,30.538,30.7236,29.814,29.8306,1607731199999,True
1607731200000,29.8293,30.3438,29.7696,29.9157,1607817599999,True
1607817600000,29.9156,30.3549,29.8509,29.99,1607903999999,True
1607904000000,29.9843,30.1557,29.087,29.3347,1607990399999,True
1607990400000,29.3385,29.793,29.03,29.1237,1608076799999,True
1608076800000,29.1237,29.5313,27.822,28.416,1608163199999,True
1608163200000,28.4112,29.4608,28.2832,28.4405,1608249599999,True
1608249600000,28.4366,28.8596,28.3101,28.4577,1608335999999,True
1608336000000,28.4601,28.8968,28.0806,28.2008,1608422399999,True
1608422400000,28.1994,28.4891,27.9342,28.3891,1608508799999,True
1608508800000,28.3897,28.3967,23.8392,24.9963,1608595199999,True
1608595200000,24.992,25.5892,24.4,24.6213,1608681599999,True
1608681600000,24.6215,25.0122,21.2126,22.3358,1608767999999,True
1608768000000,22.3349,24.4495,21.8151,23.6991,1608854399999,True
1608854400000,23.683,24.5903,23.12,24.349,1608940799999,True
1608940800000,24.3496,24.3785,23.4349,23.5652,1609027199999,True
1609027200000,23.5656,23.6979,22.2223,22.236,1609113599999,True
1609113600000,22.2373,23.1026,21.9515,21.9937,1609199999999,True
1609200000000,21.9946,22.2755,19.959,20.4405,1609286399999,True
1609286400000,20.4486,22.0122,20.2212,21.5173,1609372799999,True
1609372800000,21.5175,26.2,21.0867,24.3284,1609459199999,True
1609459200000,24.3356,25.0,21.8948,22.2169,1609545599999,True
1609545600000,22.2144,23.2285,21.3368,21.7766,1609631999999,True
1609632000000,21.7669,21.9999,20.9397,21.4253,1609718399999,True
1609718400000,21.4398,22.98,20.9816,21.4059,1609804799999,True
1609804800000,21.4015,22.4576,21.0014,21.6019,1609891199999,True
1609891200000,21.6039,22.5778,21.5218,21.9407,1609977599999,True
