open_time,open,high,low,close,close_time,is_closed
1761350400000,69.1,313.1,69.1,233.65,1761436799999,True
1761436800000,233.72,253.0,181.7,186.34,1761523199999,True
1761523200000,186.37,206.11,166.08,170.06,1761609599999,True
1761609600000,169.96,181.74,158.59,168.07,1761695999999,True
1761696000000,168.17,173.8,126.1,130.11,1761782399999,True
1761782400000,130.14,135.89,99.36,104.67,1761868799999,True
1761868800000,104.67,106.83,86.87,95.16,1761955199999,True
1761955200000,95.16,107.85,87.01,93.53,1762041599999,True
1762041600000,93.53,93.63,76.37,84.59,1762127999999,True
1762128000000,84.55,113.99,56.21,59.78,1762214399999,True
1762214400000,59.76,125.0,47.48,106.35,1762300799999,True
1762300800000,106.3,272.49,90.67,259.9,1762387199999,True
1762387200000,259.78,272.0,179.02,210.77,1762473599999,True
1762473600000,210.74,222.95,143.3,158.32,1762559999999,True
1762560000000,158.31,164.88,116.0,127.42,1762646399999,True
1762646400000,127.41,217.85,123.03,165.65,1762732799999,True
1762732800000,165.65,183.98,143.11,157.11,1762819199999,True
1762819200000,157.1,176.2,144.69,153.78,1762905599999,True
1762905600000,153.79,178.0,150.38,167.67,1762991999999,True
1762992000000,167.67,173.96,145.63,153.23,1763078399999,True
1763078400000,153.24,155.69,135.75,141.83,1763164799999,True
1763164800000,141.83,155.68,140.82,143.97,1763251199999,True
1763251200000,143.97,145.22,127.0,131.35,1763337599999,True
1763337600000,131.35,143.69,128.21,131.21,1763423999999,True
1763424000000,131.19,143.58,128.3,140.08,1763510399999,True
1763510400000,140.06,142.11,120.14,130.68,1763596799999,True
1763596800000,130.69,132.98,109.28,113.08,1763683199999,True
1763683200000,113.09,118.52,101.64,106.52,1763769599999,True
1763769600000,106.52,107.14,94.74,102.78,1763855999999,True
1763856000000,102.78,120.0,102.49,106.15,1763942399999,True
1763942400000,106.14,116.87,101.19,110.9,1764028799999,True
1764028800000,110.92,123.56,105.09,111.64,1764115199999,True
1764115200000,111.63,125.3,106.39,121.48,1764201599999,True
1764201600000,121.49,127.17,114.02,118.07,1764287999999,True
1764288000000,118.07,125.56,115.18,120.63,1764374399999,True
1764374400000,120.62,121.7,112.83,116.99,1764460799999,True
1764460800000,116.99,159.9,116.57,135.82,1764547199999,True
1764547200000,135.8,136.47,89.28,93.8,1764633599999,True
1764633600000,93.81,97.58,83.93,93.93,1764719999999,True
1764720000000,93.92,108.0,92.3,96.04,1764806399999,True
1764806400000,96.03,99.38,88.66,91.09,1764892799999,True
1764892800000,91.09,93.99,86.3,88.15,1764979199999,True
1764979200000,88.16,92.33,87.63,91.17,1765065599999,True
1765065600000,91.15,96.77,89.57,90.67,1765151999999,True
1765152000000,90.68,95.78,90.1,93.07,1765238399999,True
1765238400000,93.07,93.55,85.65,90.18,1765324799999,True
1765324800000,90.19,91.46,77.33,78.33,1765411199999,True
1765411200000,78.33,80.84,71.01,75.45,1765497599999,True
1765497600000,75.43,77.87,66.83,67.12,1765583999999,True
1765584000000,67.12,78.4,67.12,74.27,1765670399999,True
1765670400000,74.26,74.67,69.3,70.65,1765756799999,True
1765756800000,70.65,75.65,64.25,66.73,1765843199999,True
1765843200000,66.7,71.63,64.71,68.77,1765929599999,True
1765929600000,68.77,71.02,64.44,65.45,1766015999999,True
1766016000000,65.45,66.49,57.0,58.38,1766102399999,True
1766102400000,58.38,66.7,56.69,64.16,1766188799999,True
1766188800000,64.16,76.1,63.59,67.82,1766275199999,True
1766275200000,67.82,71.2,64.65,66.89,1766361599999,True
1766361600000,66.9,70.41,65.71,67.56,1766447999999,True
1766448000000,67.55,72.35,66.45,67.38,1766534399999,True
1766534400000,67.38,69.09,63.26,67.39,1766620799999,True
1766620800000,67.39,68.99,64.1,64.35,1766707199999,True
1766707200000,64.34,68.38,64.19,67.76,1766793599999,True
1766793600000,67.76,69.58,66.25,67.8,1766879999999,True
1766880000000,67.79,73.66,67.36,68.11,1766966399999,True
1766966400000,68.11,70.68,65.83,68.77,1767052799999,True
1767052800000,68.76,70.28,67.11,69.63,1767139199999,True
1767139200000,69.62,70.92,64.59,66.49,1767225599999,True
1767225600000,66.49,68.33,66.12,68.19,1767311999999,True
1767312000000,68.18,73.42,66.95,71.6,1767398399999,True
