open_time,open,high,low,close,close_time,is_closed
1782950400000,1.6,1.8,1.558,1.668,1783036799999,True
1783036800000,1.668,1.745,1.636,1.691,1783123199999,True
1783123200000,1.69,1.843,1.667,1.767,1783209599999,True
1783209600000,1.766,1.81,1.724,1.778,1783295999999,True
1783296000000,1.777,1.807,1.694,1.78,1783382399999,True
1783382400000,1.78,1.8,1.613,1.62,1783468799999,True
1783468800000,1.62,1.632,1.55,1.587,1783555199999,True
1783555200000,1.587,1.653,1.571,1.602,1783641599999,True
1783641600000,1.603,1.69,1.599,1.645,1783727999999,True
1783728000000,1.644,1.698,1.625,1.642,1783814399999,True
