open_time,open,high,low,close,close_time,is_closed
1739404800000,0.743,1.49,0.743,0.7893,1739491199999,True
1739491200000,0.7893,0.9288,0.7551,0.7944,1739577599999,True
1739577600000,0.7944,0.818,0.6606,0.6911,1739663999999,True
1739664000000,0.6912,0.74,0.6621,0.699,1739750399999,True
1739750400000,0.6989,0.716,0.6111,0.6367,1739836799999,True
1739836800000,0.6366,0.6447,0.5522,0.5818,1739923199999,True
1739923200000,0.5818,0.6171,0.5732,0.5903,1740009599999,True
1740009600000,0.5904,0.6307,0.585,0.6069,1740095999999,True
1740096000000,0.607,0.625,0.5535,0.5774,1740182399999,True
1740182400000,0.5773,0.6315,0.563,0.6197,1740268799999,True
1740268800000,0.6195,0.6414,0.5733,0.5898,1740355199999,True
1740355200000,0.5899,0.5907,0.5053,0.5138,1740441599999,True
1740441600000,0.5138,0.5858,0.5047,0.566,1740527999999,True
1740528000000,0.5661,0.5922,0.546,0.5861,1740614399999,True
1740614400000,0.5861,0.6348,0.5576,0.5635,1740700799999,True
1740700800000,0.5634,0.5674,0.5222,0.5426,1740787199999,True
1740787200000,0.5427,0.56,0.5048,0.5161,1740873599999,True
1740873600000,0.5163,0.5669,0.5033,0.5577,1740959999999,True
1740960000000,0.5578,0.5729,0.4937,0.4988,1741046399999,True
1741046400000,0.4987,0.4987,0.4351,0.4707,1741132799999,True
1741132800000,0.4707,0.487,0.4618,0.4839,1741219199999,True
1741219200000,0.4835,0.4872,0.4557,0.4706,1741305599999,True
1741305600000,0.4706,0.5192,0.4535,0.4873,1741391999999,True
1741392000000,0.4874,0.4881,0.4541,0.4636,1741478399999,True
1741478400000,0.4636,0.4664,0.4033,0.4295,1741564799999,True
1741564800000,0.4293,0.4517,0.3851,0.3887,1741651199999,True
1741651200000,0.3887,0.4239,0.3652,0.411,1741737599999,True
1741737600000,0.4109,0.4407,0.3975,0.4216,1741823999999,True
1741824000000,0.4216,0.444,0.4088,0.4213,1741910399999,True
1741910400000,0.4208,0.552,0.42,0.5262,1741996799999,True
1741996800000,0.5259,0.556,0.5096,0.5379,1742083199999,True
1742083200000,0.5376,0.5699,0.5227,0.5422,1742169599999,True
1742169600000,0.5421,0.57,0.5195,0.5329,1742255999999,True
1742256000000,0.5332,0.5343,0.5018,0.5265,1742342399999,True
1742342400000,0.5266,0.565,0.521,0.5551,1742428799999,True
1742428800000,0.555,0.5557,0.5038,0.5067,1742515199999,True
1742515200000,0.5066,0.5094,0.4678,0.4715,1742601599999,True
1742601600000,0.4716,0.5221,0.4714,0.5023,1742687999999,True
1742688000000,0.5025,0.5172,0.4864,0.4987,1742774399999,True
1742774400000,0.4991,0.514,0.4551,0.4724,1742860799999,True
1742860800000,0.4722,0.4943,0.4415,0.4549,1742947199999,True
1742947200000,0.455,0.4607,0.4277,0.4463,1743033599999,True
1743033600000,0.446,0.4654,0.443,0.4479,1743119999999,True
1743120000000,0.4481,0.4515,0.4018,0.4264,1743206399999,True
1743206400000,0.426,0.4267,0.3951,0.4158,1743292799999,True
1743292800000,0.4152,0.4263,0.3851,0.4069,1743379199999,True
1743379200000,0.4069,0.4312,0.3975,0.4142,1743465599999,True
1743465600000,0.413,0.43,0.3888,0.402,1743551999999,True
1743552000000,0.4017,0.4023,0.3596,0.3626,1743638399999,True
1743638400000,0.3627,0.3778,0.3465,0.3545,1743724799999,True
1743724800000,0.3547,0.3583,0.3355,0.3477,1743811199999,True
1743811200000,0.3477,0.3569,0.328,0.3355,1743897599999,True
1743897600000,0.3355,0.3357,0.25,0.2561,1743983999999,True
1743984000000,0.2562,0.3267,0.2281,0.3065,1744070399999,True
1744070400000,0.3065,0.3555,0.3001,0.3434,1744156799999,True
1744156800000,0.3437,0.3675,0.312,0.3513,1744243199999,True
1744243200000,0.3514,0.3532,0.3131,0.3238,1744329599999,True
1744329600000,0.3238,0.3835,0.3174,0.3484,1744415999999,True
1744416000000,0.3483,0.3571,0.3405,0.3484,1744502399999,True
1744502400000,0.3485,0.3494,0.3209,0.3284,1744588799999,True
1744588800000,0.3282,0.3662,0.32,0.3261,1744675199999,True
1744675200000,0.3258,0.3386,0.3195,0.3312,1744761599999,True
1744761600000,0.3312,0.3438,0.3268,0.3361,1744847999999,True
1744848000000,0.3356,0.3494,0.328,0.3368,1744934399999,True
