open_time,open,high,low,close,close_time,is_closed
1720742400000,19.6,20.09,19.08,19.77,1720828799999,True
1720828800000,19.78,20.75,19.68,20.26,1720915199999,True
1720915200000,20.26,21.72,20.22,21.64,1721001599999,True
1721001600000,21.62,23.14,21.52,22.99,1721087999999,True
1721088000000,22.99,24.94,22.6,24.9,1721174399999,True
1721174400000,24.91,26.77,24.85,25.64,1721260799999,True
1721260800000,25.65,27.1,25.03,26.92,1721347199999,True
1721347200000,26.91,27.42,25.61,26.4,1721433599999,True
1721433600000,26.4,28.11,26.21,27.61,1721519999999,True
1721520000000,27.61,28.02,26.19,27.47,1721606399999,True
1721606400000,27.46,27.55,25.68,25.79,1721692799999,True
1721692800000,25.8,26.15,23.58,24.07,1721779199999,True
1721779200000,24.07,25.85,23.71,23.91,1721865599999,True
1721865600000,23.91,24.65,22.85,23.83,1721951999999,True
1721952000000,23.83,26.18,23.77,25.77,1722038399999,True
1722038400000,25.77,26.12,24.16,25.31,1722124799999,True
1722124800000,25.31,25.45,23.97,24.22,1722211199999,True
1722211200000,24.22,26.09,24.14,24.16,1722297599999,True
1722297600000,24.16,24.82,22.86,23.18,1722383999999,True
1722384000000,23.18,23.62,21.92,21.96,1722470399999,True
1722470400000,21.97,22.35,20.11,21.67,1722556799999,True
1722556800000,21.66,21.8,19.45,19.76,1722643199999,True
1722643200000,19.76,20.05,17.87,18.5,1722729599999,True
1722729600000,18.5,18.73,16.74,17.65,1722815999999,True
1722816000000,17.65,17.94,13.51,15.32,1722902399999,True
1722902400000,15.33,16.98,15.31,16.05,1722988799999,True
1722988800000,16.05,16.67,14.62,14.93,1723075199999,True
1723075200000,14.93,18.5,14.64,18.37,1723161599999,True
1723161600000,18.36,18.46,17.08,18.16,1723247999999,True
1723248000000,18.16,19.41,17.55,19.25,1723334399999,True
1723334400000,19.24,19.41,17.61,17.66,1723420799999,True
1723420800000,17.66,19.3,17.59,18.52,1723507199999,True
1723507200000,18.53,19.58,18.04,19.45,1723593599999,True
1723593600000,19.45,19.93,18.58,18.67,1723679999999,True
1723680000000,18.68,19.26,17.77,18.13,1723766399999,True
1723766400000,18.13,19.25,17.28,17.88,1723852799999,True
1723852800000,17.88,18.65,17.77,18.62,1723939199999,True
1723939200000,18.62,18.79,17.83,17.85,1724025599999,True
1724025600000,17.85,18.2,17.51,18.16,1724111999999,True
1724112000000,18.16,19.15,17.98,18.42,1724198399999,True
