open_time,open,high,low,close,close_time,is_closed
1720742400000,1.995,2.039,1.963,2.03,1720828799999,True
1720828800000,2.03,2.058,1.981,2.015,1720915199999,True
1720915200000,2.015,2.153,2.014,2.138,1721001599999,True
1721001600000,2.135,2.5,2.127,2.477,1721087999999,True
1721088000000,2.478,2.519,2.267,2.462,1721174399999,True
1721174400000,2.461,2.651,2.392,2.399,1721260799999,True
1721260800000,2.4,2.527,2.353,2.463,1721347199999,True
1721347200000,2.463,2.808,2.389,2.752,1721433599999,True
1721433600000,2.751,2.834,2.717,2.774,1721519999999,True
1721520000000,2.775,2.958,2.65,2.909,1721606399999,True
1721606400000,2.907,2.923,2.604,2.674,1721692799999,True
1721692800000,2.673,2.722,2.43,2.473,1721779199999,True
1721779200000,2.474,2.82,2.455,2.744,1721865599999,True
1721865600000,2.744,2.89,2.57,2.62,1721951999999,True
1721952000000,2.622,3.248,2.62,3.223,1722038399999,True
1722038400000,3.224,3.277,3.02,3.121,1722124799999,True
1722124800000,3.12,3.187,3.045,3.117,1722211199999,True
1722211200000,3.118,3.338,3.016,3.126,1722297599999,True
1722297600000,3.127,3.245,3.053,3.098,1722383999999,True
1722384000000,3.099,3.357,2.886,2.981,1722470399999,True
1722470400000,2.982,3.064,2.686,2.926,1722556799999,True
1722556800000,2.924,2.944,2.61,2.658,1722643199999,True
1722643200000,2.659,2.7,2.317,2.394,1722729599999,True
1722729600000,2.394,2.453,2.177,2.327,1722815999999,True
1722816000000,2.328,2.42,1.901,2.192,1722902399999,True
1722902400000,2.192,2.423,2.183,2.321,1722988799999,True
1722988800000,2.321,2.617,2.276,2.34,1723075199999,True
1723075200000,2.34,2.818,2.286,2.788,1723161599999,True
1723161600000,2.789,2.89,2.723,2.799,1723247999999,True
1723248000000,2.8,2.831,2.632,2.666,1723334399999,True
1723334400000,2.665,2.779,2.43,2.432,1723420799999,True
1723420800000,2.431,2.662,2.428,2.527,1723507199999,True
1723507200000,2.526,2.58,2.408,2.514,1723593599999,True
1723593600000,2.512,2.689,2.426,2.472,1723679999999,True
1723680000000,2.472,2.512,2.243,2.326,1723766399999,True
1723766400000,2.325,2.437,2.279,2.334,1723852799999,True
1723852800000,2.333,2.4,2.305,2.386,1723939199999,True
1723939200000,2.385,2.389,2.283,2.288,1724025599999,True
1724025600000,2.288,2.382,2.229,2.359,1724111999999,True
1724112000000,2.36,2.448,2.338,2.398,1724198399999,True
1724198400000,2.398,2.423,2.266,2.376,1724284799999,True
1724284800000,2.377,2.464,2.352,2.427,1724371199999,True
1724371200000,2.429,2.747,2.426,2.695,1724457599999,True
1724457600000,2.696,2.914,2.645,2.76,1724543999999,True
1724544000000,2.758,2.762,2.636,2.703,1724630399999,True
1724630400000,2.706,2.776,2.56,2.566,1724716799999,True
1724716800000,2.566,2.719,2.359,2.421,1724803199999,True
1724803200000,2.421,2.507,2.299,2.364,1724889599999,True
1724889600000,2.363,2.48,2.303,2.355,1724975999999,True
1724976000000,2.353,2.39,2.131,2.233,1725062399999,True
1725062400000,2.233,2.264,2.158,2.209,1725148799999,True
1725148800000,2.209,2.216,2.068,2.087,1725235199999,True
1725235200000,2.085,2.224,2.076,2.195,1725321599999,True
1725321600000,2.194,2.268,2.096,2.1,1725407999999,True
1725408000000,2.1,2.23,1.995,2.17,1725494399999,True
1725494400000,2.169,2.268,1.98,1.982,1725580799999,True
1725580800000,1.982,2.084,1.844,1.929,1725667199999,True
1725667200000,1.929,1.978,1.902,1.936,1725753599999,True
1725753600000,1.936,2.056,1.924,2.027,1725839999999,True
1725840000000,2.027,2.119,2.006,2.058,1725926399999,True
1725926400000,2.059,2.061,1.977,2.002,1726012799999,True
1726012800000,2.002,2.007,1.836,1.904,1726099199999,True
1726099200000,1.904,2.019,1.903,1.999,1726185599999,True
1726185600000,1.999,2.088,1.948,2.066,1726271999999,True
1726272000000,2.066,2.097,1.978,2.009,1726358399999,True
1726358400000,2.01,2.073,1.911,1.941,1726444799999,True
1726444800000,1.94,1.973,1.863,1.894,1726531199999,True
1726531200000,1.892,2.074,1.879,2.025,1726617599999,True
1726617600000,2.024,2.097,1.942,2.096,1726703999999,True
1726704000000,2.097,2.28,2.092,2.205,1726790399999,True
1726790400000,2.205,2.386,2.167,2.296,1726876799999,True
1726876800000,2.296,2.298,2.212,2.279,1726963199999,True
1726963200000,2.279,2.285,2.065,2.148,1727049599999,True
1727049600000,2.149,2.31,2.112,2.248,1727135999999,True
1727136000000,2.247,2.45,2.179,2.401,1727222399999,True
1727222400000,2.402,2.436,2.277,2.297,1727308799999,True
1727308800000,2.299,2.53,2.252,2.426,1727395199999,True
1727395200000,2.425,2.571,2.39,2.494,1727481599999,True
1727481600000,2.495,2.569,2.417,2.48,1727567999999,True
1727568000000,2.48,2.571,2.361,2.494,1727654399999,True
1727654400000,2.495,2.518,2.254,2.284,1727740799999,True
1727740800000,2.283,2.396,2.029,2.099,1727827199999,True
1727827200000,2.098,2.212,1.996,2.056,1727913599999,True
1727913600000,2.056,2.121,1.918,1.99,1727999999999,True
1728000000000,1.988,2.101,1.969,2.056,1728086399999,True
1728086400000,2.056,2.091,1.986,2.03,1728172799999,True
