open_time,open,high,low,close,close_time,is_closed
1720742400000,1.582,1.723,1.557,1.707,1720828799999,True
1720828800000,1.707,1.741,1.657,1.66,1720915199999,True
1720915200000,1.66,1.766,1.656,1.75,1721001599999,True
1721001600000,1.75,1.829,1.726,1.811,1721087999999,True
1721088000000,1.81,1.872,1.711,1.828,1721174399999,True
1721174400000,1.827,2.05,1.825,1.935,1721260799999,True
1721260800000,1.936,2.037,1.867,1.916,1721347199999,True
1721347200000,1.916,1.975,1.848,1.959,1721433599999,True
1721433600000,1.959,1.974,1.894,1.929,1721519999999,True
1721520000000,1.929,1.962,1.821,1.941,1721606399999,True
1721606400000,1.941,1.974,1.756,1.784,1721692799999,True
1721692800000,1.785,1.897,1.719,1.755,1721779199999,True
1721779200000,1.755,1.775,1.619,1.627,1721865599999,True
1721865600000,1.627,1.635,1.476,1.522,1721951999999,True
1721952000000,1.521,1.62,1.517,1.573,1722038399999,True
1722038400000,1.572,1.704,1.55,1.632,1722124799999,True
1722124800000,1.633,1.633,1.553,1.575,1722211199999,True
1722211200000,1.574,1.659,1.571,1.604,1722297599999,True
1722297600000,1.604,1.645,1.56,1.585,1722383999999,True
1722384000000,1.584,1.689,1.567,1.611,1722470399999,True
1722470400000,1.612,1.639,1.427,1.56,1722556799999,True
1722556800000,1.561,1.597,1.404,1.451,1722643199999,True
1722643200000,1.451,1.454,1.271,1.298,1722729599999,True
1722729600000,1.299,1.354,1.184,1.218,1722815999999,True
1722816000000,1.218,1.232,0.894,1.038,1722902399999,True
1722902400000,1.039,1.177,1.038,1.121,1722988799999,True
1722988800000,1.121,1.171,0.992,1.009,1723075199999,True
1723075200000,1.009,1.181,0.994,1.166,1723161599999,True
1723161600000,1.165,1.167,1.074,1.098,1723247999999,True
1723248000000,1.099,1.122,1.08,1.1,1723334399999,True
1723334400000,1.101,1.135,1.013,1.021,1723420799999,True
1723420800000,1.021,1.128,1.014,1.089,1723507199999,True
1723507200000,1.089,1.092,1.036,1.075,1723593599999,True
1723593600000,1.075,1.106,1.041,1.068,1723679999999,True
