open_time,open,high,low,close,close_time,is_closed
1547596800000,0.5355,0.5355,0.4668,0.4895,1547683199999,True
1547683200000,0.4895,0.4953,0.4639,0.4756,1547769599999,True
1547769600000,0.4762,0.5112,0.4601,0.4894,1547855999999,True
1547856000000,0.4908,0.5,0.4673,0.4831,1547942399999,True
1547942400000,0.4803,0.492,0.459,0.4834,1548028799999,True
1548028800000,0.4839,0.5198,0.465,0.4972,1548115199999,True
1548115200000,0.496,0.5656,0.4956,0.5344,1548201599999,True
1548201600000,0.5342,0.5475,0.4901,0.5046,1548287999999,True
1548288000000,0.5046,0.5065,0.4518,0.5017,1548374399999,True
1548374400000,0.5031,0.5157,0.4712,0.4739,1548460799999,True
1548460800000,0.4736,0.4884,0.4624,0.4661,1548547199999,True
1548547200000,0.4661,0.4666,0.4229,0.4303,1548633599999,True
1548633600000,0.431,0.4313,0.3504,0.4116,1548719999999,True
1548720000000,0.4104,0.4638,0.4061,0.4505,1548806399999,True
1548806400000,0.4505,0.4514,0.413,0.4249,1548892799999,True
1548892800000,0.425,0.441,0.3811,0.3832,1548979199999,True
1548979200000,0.385,0.43,0.38,0.4147,1549065599999,True
1549065600000,0.4163,0.433,0.3985,0.4136,1549151999999,True
1549152000000,0.417,0.417,0.386,0.3963,1549238399999,True
1549238400000,0.3959,0.4125,0.3867,0.3943,1549324799999,True
1549324800000,0.3926,0.4327,0.3902,0.4224,1549411199999,True
1549411200000,0.4224,0.4236,0.3915,0.4,1549497599999,True
1549497600000,0.4,0.4065,0.3913,0.4021,1549583999999,True
1549584000000,0.4021,0.45,0.3985,0.4383,1549670399999,True
1549670400000,0.4371,0.4844,0.431,0.4612,1549756799999,True
1549756800000,0.4648,0.48,0.4325,0.4499,1549843199999,True
1549843200000,0.4495,0.4515,0.42,0.4289,1549929599999,True
1549929600000,0.4277,0.4374,0.4176,0.4277,1550015999999,True
1550016000000,0.4277,0.4454,0.4183,0.4411,1550102399999,True
1550102400000,0.4422,0.4442,0.4203,0.4259,1550188799999,True
1550188800000,0.4235,0.45,0.4222,0.4342,1550275199999,True
1550275200000,0.4366,0.4464,0.4251,0.4398,1550361599999,True
1550361600000,0.4386,0.4797,0.4317,0.4604,1550447999999,True
1550448000000,0.4615,0.4823,0.4534,0.471,1550534399999,True
1550534400000,0.471,0.4789,0.452,0.4598,1550620799999,True
1550620800000,0.4548,0.4748,0.4432,0.4618,1550707199999,True
1550707200000,0.4617,0.475,0.438,0.4438,1550793599999,True
1550793600000,0.4438,0.465,0.44,0.4479,1550879999999,True
1550880000000,0.448,0.464,0.4437,0.4585,1550966399999,True
1550966400000,0.4592,0.4644,0.3975,0.405,1551052799999,True
1551052800000,0.4047,0.4749,0.4007,0.4723,1551139199999,True
1551139200000,0.4722,0.474,0.43,0.4341,1551225599999,True
1551225600000,0.4335,0.4412,0.4145,0.4274,1551311999999,True
1551312000000,0.4274,0.45,0.4166,0.4244,1551398399999,True
1551398400000,0.4236,0.4386,0.4203,0.4285,1551484799999,True
1551484800000,0.4286,0.4372,0.4173,0.4221,1551571199999,True
1551571200000,0.4232,0.4292,0.4177,0.4205,1551657599999,True
1551657600000,0.4203,0.4255,0.3929,0.4036,1551743999999,True
1551744000000,0.4029,0.4343,0.4023,0.4291,1551830399999,True
1551830400000,0.4291,0.4385,0.4186,0.4296,1551916799999,True
1551916800000,0.4296,0.4766,0.4256,0.4521,1552003199999,True
1552003200000,0.4521,0.5107,0.4519,0.4611,1552089599999,True
1552089600000,0.4611,0.4824,0.4524,0.4746,1552175999999,True
1552176000000,0.4742,0.546,0.4681,0.4981,1552262399999,True
1552262400000,0.4982,0.5181,0.4382,0.4629,1552348799999,True
1552348800000,0.4641,0.5079,0.4503,0.4876,1552435199999,True
1552435200000,0.4872,0.488,0.4671,0.4805,1552521599999,True
1552521600000,0.4814,0.4994,0.4722,0.4871,1552607999999,True
1552608000000,0.4858,0.496,0.4831,0.4858,1552694399999,True
1552694400000,0.4866,0.496,0.4681,0.4819,1552780799999,True
1552780800000,0.4805,0.4887,0.4702,0.4785,1552867199999,True
1552867200000,0.4789,0.4833,0.467,0.4757,1552953599999,True
1552953600000,0.476,0.48,0.4648,0.477,1553039999999,True
1553040000000,0.4796,0.4899,0.4737,0.4807,1553126399999,True
1553126400000,0.4818,0.4842,0.4342,0.4548,1553212799999,True
1553212800000,0.4551,0.4655,0.447,0.4646,1553299199999,True
1553299200000,0.4627,0.4644,0.4545,0.4608,1553385599999,True
1553385600000,0.4606,0.4621,0.4485,0.4531,1553471999999,True
1553472000000,0.4539,0.4949,0.441,0.4734,1553558399999,True
1553558400000,0.4729,0.485,0.448,0.4605,1553644799999,True
1553644800000,0.4603,0.4997,0.4556,0.4946,1553731199999,True
1553731200000,0.4967,0.5196,0.4846,0.4992,1553817599999,True
1553817600000,0.4984,0.5042,0.4887,0.5008,1553903999999,True
1553904000000,0.5008,0.5034,0.4858,0.494,1553990399999,True
1553990400000,0.4938,0.541,0.4868,0.5084,1554076799999,True
1554076800000,0.5084,0.563,0.5007,0.554,1554163199999,True
1554163200000,0.5533,0.6,0.5326,0.5811,1554249599999,True
1554249600000,0.5811,0.6073,0.517,0.562,1554335999999,True
1554336000000,0.5588,0.5839,0.5195,0.5396,1554422399999,True
1554422400000,0.5409,0.5799,0.539,0.5729,1554508799999,True
1554508800000,0.5735,0.59,0.5557,0.5691,1554595199999,True
1554595200000,0.5677,0.5918,0.5655,0.5773,1554681599999,True
1554681600000,0.5776,0.5912,0.537,0.5634,1554767999999,True
1554768000000,0.5617,0.5637,0.517,0.53,1554854399999,True
1554854400000,0.53,0.5452,0.51,0.5197,1554940799999,True
1554940800000,0.5198,0.521,0.453,0.4821,1555027199999,True
1555027200000,0.4821,0.5134,0.4531,0.492,1555113599999,True
1555113600000,0.4932,0.5399,0.4913,0.5358,1555199999999,True
1555200000000,0.5366,0.5449,0.5073,0.5225,1555286399999,True
1555286400000,0.5259,0.5268,0.48,0.4883,1555372799999,True
1555372800000,0.4884,0.5176,0.4883,0.4985,1555459199999,True
1555459200000,0.4998,0.5046,0.488,0.4998,1555545599999,True
1555545600000,0.4992,0.5226,0.4974,0.5193,1555631999999,True
1555632000000,0.5187,0.539,0.5083,0.5095,1555718399999,True
1555718400000,0.5105,0.5287,0.505,0.5118,1555804799999,True
1555804800000,0.5117,0.5139,0.4752,0.4963,1555891199999,True
1555891200000,0.4963,0.517,0.4837,0.4957,1555977599999,True
1555977600000,0.492,0.504,0.4756,0.4756,1556063999999,True
1556064000000,0.4756,0.48,0.44,0.475,1556150399999,True
1556150400000,0.4745,0.4997,0.435,0.4503,1556236799999,True
1556236800000,0.4499,0.4699,0.4264,0.4416,1556323199999,True
1556323200000,0.4437,0.4698,0.4357,0.443,1556409599999,True
1556409600000,0.4448,0.46,0.4403,0.451,1556495999999,True
1556496000000,0.451,0.4546,0.424,0.4338,1556582399999,True
1556582400000,0.4334,0.4771,0.432,0.4727,1556668799999,True
1556668800000,0.475,0.4876,0.4638,0.473,1556755199999,True
1556755200000,0.4745,0.4757,0.46,0.463,1556841599999,True
1556841600000,0.4643,0.5223,0.4607,0.511,1556927999999,True
1556928000000,0.5118,0.5151,0.4783,0.4964,1557014399999,True
1557014400000,0.4964,0.5238,0.4902,0.5058,1557100799999,True
1557100800000,0.5058,0.5882,0.4901,0.5745,1557187199999,True
1557187200000,0.5798,0.6186,0.5409,0.5435,1557273599999,True
1557273600000,0.5433,0.6157,0.5212,0.594,1557359999999,True
1557360000000,0.594,0.704,0.5873,0.6403,1557446399999,True
1557446400000,0.6402,0.7233,0.6374,0.6703,1557532799999,True
1557532800000,0.6731,0.7484,0.6517,0.6752,1557619199999,True
1557619200000,0.679,0.6999,0.6285,0.6586,1557705599999,True
1557705600000,0.6607,0.6872,0.6336,0.6474,1557791999999,True
1557792000000,0.6474,0.9565,0.6332,0.828,1557878399999,True
1557878400000,0.8251,0.889,0.7772,0.8427,1557964799999,True
1557964800000,0.8427,0.9389,0.7551,0.928,1558051199999,True
1558051200000,0.9264,0.9869,0.81,0.8911,1558137599999,True
1558137600000,0.895,0.9592,0.8457,0.9359,1558223999999,True
1558224000000,0.936,1.05,0.9279,0.9934,1558310399999,True
1558310400000,0.9927,1.143,0.946,1.117,1558396799999,True
1558396800000,1.1146,1.25,1.06,1.1798,1558483199999,True
1558483200000,1.1855,1.474,1.1301,1.2205,1558569599999,True
1558569600000,1.2205,1.3655,1.1418,1.3392,1558655999999,True
1558656000000,1.3393,1.4347,1.2216,1.3314,1558742399999,True
1558742400000,1.3314,1.3376,1.0961,1.113,1558828799999,True
1558828800000,1.113,1.1824,1.034,1.0828,1558915199999,True
1558915200000,1.0802,1.275,1.0802,1.2119,1559001599999,True
1559001600000,1.2173,1.35,1.1441,1.2788,1559087999999,True
1559088000000,1.2787,1.2844,1.1426,1.1725,1559174399999,True
1559174400000,1.1722,1.2257,0.9009,1.0023,1559260799999,True
1559260800000,1.0018,1.0444,0.933,1.0189,1559347199999,True
1559347200000,1.0236,1.0598,0.9511,0.956,1559433599999,True
1559433600000,0.9536,1.0554,0.9323,1.0155,1559519999999,True
1559520000000,1.0155,1.02,0.8853,0.9,1559606399999,True
1559606400000,0.8985,0.9299,0.8368,0.885,1559692799999,True
