open_time,open,high,low,close,close_time,is_closed
1712016000000,0.3624,0.3627,0.3317,0.3385,1712102399999,True
1712102400000,0.3386,0.3528,0.3256,0.3407,1712188799999,True
1712188800000,0.3406,0.3588,0.3285,0.347,1712275199999,True
1712275200000,0.3471,0.3483,0.3233,0.3356,1712361599999,True
1712361600000,0.3356,0.347,0.3335,0.3434,1712447999999,True
1712448000000,0.3433,0.3522,0.3404,0.3496,1712534399999,True
1712534400000,0.3496,0.3655,0.3397,0.3616,1712620799999,True
1712620800000,0.3619,0.3677,0.3388,0.3402,1712707199999,True
1712707200000,0.3403,0.3444,0.321,0.3404,1712793599999,True
1712793600000,0.3402,0.357,0.3354,0.3377,1712879999999,True
1712880000000,0.3377,0.3458,0.253,0.2833,1712966399999,True
1712966400000,0.2831,0.2883,0.206,0.2457,1713052799999,True
1713052800000,0.2454,0.272,0.236,0.269,1713139199999,True
1713139200000,0.269,0.2792,0.2428,0.2515,1713225599999,True
1713225600000,0.2516,0.2613,0.2384,0.2522,1713311999999,True
1713312000000,0.2522,0.2566,0.2366,0.2464,1713398399999,True
1713398400000,0.2464,0.2566,0.2396,0.2517,1713484799999,True
1713484800000,0.2518,0.2613,0.2281,0.2523,1713571199999,True
1713571200000,0.2523,0.2762,0.2487,0.2738,1713657599999,True
1713657600000,0.2738,0.2766,0.2617,0.2675,1713743999999,True
1713744000000,0.2676,0.28,0.2661,0.2772,1713830399999,True
1713830400000,0.2772,0.2808,0.27,0.275,1713916799999,True
1713916800000,0.275,0.2851,0.2593,0.2628,1714003199999,True
1714003200000,0.2629,0.2695,0.2559,0.2647,1714089599999,True
1714089600000,0.2647,0.2658,0.2548,0.2565,1714175999999,True
1714176000000,0.2567,0.2618,0.245,0.2599,1714262399999,True
1714262400000,0.2599,0.2672,0.2541,0.2551,1714348799999,True
1714348800000,0.255,0.2583,0.2425,0.2512,1714435199999,True
1714435200000,0.2514,0.254,0.2269,0.2359,1714521599999,True
1714521600000,0.2361,0.2421,0.2198,0.2391,1714607999999,True
1714608000000,0.2391,0.2463,0.2316,0.2422,1714694399999,True
1714694400000,0.2422,0.2618,0.2397,0.2603,1714780799999,True
1714780800000,0.2604,0.263,0.255,0.2577,1714867199999,True
1714867200000,0.2577,0.2644,0.2524,0.2609,1714953599999,True
1714953600000,0.2609,0.2714,0.2543,0.2552,1715039999999,True
1715040000000,0.2553,0.2614,0.2498,0.2509,1715126399999,True
1715126400000,0.251,0.2563,0.2452,0.2499,1715212799999,True
1715212800000,0.25,0.2625,0.2438,0.2603,1715299199999,True
1715299200000,0.2603,0.2641,0.2422,0.2448,1715385599999,True
1715385600000,0.2448,0.2489,0.2414,0.2428,1715471999999,True
1715472000000,0.2428,0.2472,0.2396,0.2417,1715558399999,True
1715558400000,0.2416,0.2555,0.2316,0.243,1715644799999,True
1715644800000,0.243,0.28,0.2381,0.2409,1715731199999,True
1715731200000,0.2409,0.2618,0.2364,0.2558,1715817599999,True
1715817600000,0.2559,0.259,0.2461,0.2517,1715903999999,True
1715904000000,0.2519,0.2622,0.2486,0.2607,1715990399999,True
1715990400000,0.2609,0.2634,0.2569,0.2601,1716076799999,True
1716076800000,0.2602,0.2637,0.2477,0.2491,1716163199999,True
1716163200000,0.2491,0.2767,0.2454,0.2758,1716249599999,True
1716249600000,0.276,0.3055,0.2739,0.2926,1716335999999,True
1716336000000,0.2927,0.2941,0.28,0.2867,1716422399999,True
1716422400000,0.2868,0.292,0.2573,0.2799,1716508799999,True
1716508800000,0.2799,0.2843,0.268,0.2787,1716595199999,True
1716595200000,0.2785,0.2832,0.2747,0.2753,1716681599999,True
1716681600000,0.2753,0.2768,0.2659,0.2687,1716767999999,True
1716768000000,0.2686,0.2877,0.2681,0.2825,1716854399999,True
1716854400000,0.2824,0.2909,0.2694,0.289,1716940799999,True
1716940800000,0.2891,0.2914,0.278,0.2785,1717027199999,True
1717027200000,0.2784,0.2832,0.2688,0.2734,1717113599999,True
1717113600000,0.2733,0.2765,0.266,0.2718,1717199999999,True
1717200000000,0.2717,0.2731,0.2659,0.2705,1717286399999,True
1717286400000,0.2704,0.2732,0.2595,0.2623,1717372799999,True
1717372800000,0.2623,0.2707,0.2583,0.2636,1717459199999,True
1717459200000,0.2636,0.2704,0.2603,0.2687,1717545599999,True
1717545600000,0.2688,0.2875,0.2676,0.2771,1717631999999,True
1717632000000,0.277,0.2775,0.264,0.2674,1717718399999,True
1717718400000,0.2674,0.2707,0.22,0.2456,1717804799999,True
1717804800000,0.2455,0.2473,0.2257,0.2273,1717891199999,True
1717891200000,0.2272,0.2307,0.2201,0.227,1717977599999,True
1717977600000,0.227,0.2271,0.2078,0.21,1718063999999,True
1718064000000,0.2102,0.2119,0.198,0.2018,1718150399999,True
1718150400000,0.2017,0.2167,0.1976,0.2081,1718236799999,True
1718236800000,0.2081,0.2092,0.1983,0.2005,1718323199999,True
1718323200000,0.2005,0.2043,0.1861,0.1937,1718409599999,True
1718409600000,0.1937,0.1984,0.1922,0.1933,1718495999999,True
1718496000000,0.1934,0.1952,0.1895,0.194,1718582399999,True
1718582400000,0.194,0.1949,0.174,0.177,1718668799999,True
1718668800000,0.177,0.1784,0.151,0.1654,1718755199999,True
1718755200000,0.1653,0.1695,0.1631,0.1673,1718841599999,True
1718841600000,0.1671,0.1796,0.1659,0.173,1718927999999,True
1718928000000,0.173,0.1779,0.1698,0.171,1719014399999,True
1719014400000,0.171,0.1747,0.1685,0.1738,1719100799999,True
1719100800000,0.1738,0.1802,0.167,0.1703,1719187199999,True
1719187200000,0.1703,0.1762,0.1604,0.1758,1719273599999,True
1719273600000,0.1755,0.1845,0.1751,0.1812,1719359999999,True
1719360000000,0.1811,0.1834,0.1763,0.1795,1719446399999,True
1719446400000,0.1796,0.1861,0.1763,0.1818,1719532799999,True
1719532800000,0.1817,0.1831,0.1713,0.1726,1719619199999,True
1719619200000,0.1725,0.1772,0.1693,0.1699,1719705599999,True
1719705600000,0.17,0.1799,0.1672,0.1796,1719791999999,True
1719792000000,0.1797,0.1857,0.1733,0.1771,1719878399999,True
1719878400000,0.177,0.1783,0.1707,0.173,1719964799999,True
1719964800000,0.1731,0.1737,0.1648,0.1669,1720051199999,True
1720051200000,0.167,0.1674,0.145,0.1459,1720137599999,True
1720137600000,0.1459,0.146,0.1251,0.1348,1720223999999,True
1720224000000,0.1348,0.1457,0.1335,0.1451,1720310399999,True
1720310400000,0.145,0.1468,0.137,0.1378,1720396799999,True
1720396800000,0.1379,0.1476,0.1322,0.1407,1720483199999,True
1720483200000,0.1407,0.1473,0.1396,0.1464,1720569599999,True
1720569600000,0.1464,0.1495,0.1436,0.1458,1720655999999,True
1720656000000,0.1458,0.15,0.1419,0.1427,1720742399999,True
1720742400000,0.1427,0.1474,0.1417,0.1449,1720828799999,True
1720828800000,0.145,0.152,0.1443,0.1497,1720915199999,True
1720915200000,0.1496,0.1543,0.1478,0.1534,1721001599999,True
1721001600000,0.1533,0.1649,0.1529,0.1641,1721087999999,True
1721088000000,0.1641,0.1653,0.1555,0.1634,1721174399999,True
1721174400000,0.1634,0.1685,0.1629,0.1654,1721260799999,True
1721260800000,0.1655,0.1684,0.1529,0.1574,1721347199999,True
1721347200000,0.1575,0.1699,0.1546,0.1667,1721433599999,True
1721433600000,0.1666,0.1713,0.1646,0.1679,1721519999999,True
1721520000000,0.1679,0.1738,0.1609,0.1718,1721606399999,True
1721606400000,0.1719,0.1725,0.1638,0.1651,1721692799999,True
1721692800000,0.165,0.1699,0.1569,0.1581,1721779199999,True
