open_time,open,high,low,close,close_time,is_closed
1720656000000,0.2621,0.269,0.2484,0.2502,1720742399999,True
1720742400000,0.2504,0.259,0.2466,0.2566,1720828799999,True
1720828800000,0.2568,0.2661,0.2543,0.2598,1720915199999,True
1720915200000,0.2598,0.2679,0.2525,0.2659,1721001599999,True
1721001600000,0.2658,0.2923,0.2644,0.2898,1721087999999,True
1721088000000,0.2897,0.3228,0.2715,0.3114,1721174399999,True
1721174400000,0.3113,0.3194,0.2979,0.309,1721260799999,True
1721260800000,0.3094,0.3153,0.2874,0.2964,1721347199999,True
1721347200000,0.2966,0.319,0.2872,0.3134,1721433599999,True
1721433600000,0.3135,0.3183,0.3014,0.3097,1721519999999,True
1721520000000,0.3099,0.3124,0.2827,0.3119,1721606399999,True
1721606400000,0.3121,0.3157,0.2916,0.2934,1721692799999,True
1721692800000,0.2936,0.3039,0.2758,0.2811,1721779199999,True
1721779200000,0.2811,0.2953,0.2767,0.2791,1721865599999,True
1721865600000,0.279,0.2823,0.253,0.2725,1721951999999,True
1721952000000,0.2723,0.3051,0.27,0.2999,1722038399999,True
1722038400000,0.3001,0.3247,0.2964,0.3078,1722124799999,True
1722124800000,0.3079,0.312,0.2967,0.301,1722211199999,True
1722211200000,0.3005,0.314,0.2932,0.2947,1722297599999,True
1722297600000,0.2946,0.3069,0.2773,0.2843,1722383999999,True
1722384000000,0.2843,0.3057,0.2777,0.2831,1722470399999,True
1722470400000,0.283,0.2874,0.2469,0.2759,1722556799999,True
1722556800000,0.2758,0.2812,0.2455,0.2472,1722643199999,True
1722643200000,0.2473,0.2502,0.2171,0.2222,1722729599999,True
1722729600000,0.2223,0.2315,0.2013,0.2098,1722815999999,True
1722816000000,0.2097,0.2124,0.1561,0.1764,1722902399999,True
1722902400000,0.1764,0.2046,0.1763,0.1974,1722988799999,True
1722988800000,0.1972,0.2049,0.1843,0.187,1723075199999,True
1723075200000,0.1871,0.2148,0.184,0.2131,1723161599999,True
1723161600000,0.2129,0.2135,0.2038,0.211,1723247999999,True
1723248000000,0.2112,0.2261,0.2079,0.2188,1723334399999,True
1723334400000,0.2187,0.2234,0.1961,0.1971,1723420799999,True
1723420800000,0.1973,0.2203,0.1973,0.2167,1723507199999,True
1723507200000,0.2167,0.2337,0.2089,0.2295,1723593599999,True
1723593600000,0.2294,0.2419,0.2172,0.2212,1723679999999,True
1723680000000,0.2212,0.2253,0.2019,0.206,1723766399999,True
1723766400000,0.2057,0.2107,0.1952,0.2045,1723852799999,True
1723852800000,0.2044,0.2147,0.2013,0.2103,1723939199999,True
1723939200000,0.2102,0.2337,0.2067,0.2242,1724025599999,True
1724025600000,0.2233,0.2278,0.2078,0.2236,1724111999999,True
1724112000000,0.2234,0.233,0.2145,0.2239,1724198399999,True
1724198400000,0.224,0.2351,0.2178,0.2312,1724284799999,True
1724284800000,0.2313,0.24,0.2243,0.2336,1724371199999,True
1724371200000,0.2337,0.2608,0.2335,0.2556,1724457599999,True
1724457600000,0.2558,0.2788,0.2529,0.2653,1724543999999,True
1724544000000,0.2652,0.267,0.2482,0.2564,1724630399999,True
1724630400000,0.2565,0.2612,0.2274,0.23,1724716799999,True
1724716800000,0.23,0.2427,0.2101,0.2147,1724803199999,True
1724803200000,0.2144,0.2214,0.198,0.2065,1724889599999,True
1724889600000,0.2064,0.2179,0.2002,0.2042,1724975999999,True
1724976000000,0.204,0.2069,0.1904,0.2031,1725062399999,True
1725062400000,0.2028,0.2048,0.1958,0.1973,1725148799999,True
1725148800000,0.1972,0.1987,0.1849,0.1861,1725235199999,True
1725235200000,0.186,0.2014,0.1854,0.1995,1725321599999,True
1725321600000,0.1994,0.2025,0.186,0.1864,1725407999999,True
1725408000000,0.1866,0.1953,0.1741,0.1908,1725494399999,True
1725494400000,0.1909,0.192,0.182,0.1838,1725580799999,True
1725580800000,0.1838,0.1927,0.1717,0.1795,1725667199999,True
1725667200000,0.1794,0.1885,0.1776,0.1848,1725753599999,True
1725753600000,0.1848,0.1967,0.1833,0.1927,1725839999999,True
1725840000000,0.193,0.2059,0.1905,0.2018,1725926399999,True
1725926400000,0.2018,0.2082,0.1987,0.2029,1726012799999,True
1726012800000,0.203,0.2031,0.1899,0.1983,1726099199999,True
1726099200000,0.1982,0.2092,0.198,0.2089,1726185599999,True
1726185600000,0.2088,0.2134,0.2028,0.2104,1726271999999,True
1726272000000,0.2107,0.2173,0.2089,0.2166,1726358399999,True
1726358400000,0.2165,0.2191,0.2023,0.2055,1726444799999,True
1726444800000,0.2052,0.2063,0.1931,0.1957,1726531199999,True
1726531200000,0.1956,0.2095,0.1916,0.2072,1726617599999,True
1726617600000,0.2072,0.2228,0.199,0.222,1726703999999,True
1726704000000,0.2221,0.2357,0.2201,0.2301,1726790399999,True
1726790400000,0.2301,0.2412,0.2244,0.2321,1726876799999,True
1726876800000,0.232,0.2343,0.2256,0.2327,1726963199999,True
1726963200000,0.2327,0.2328,0.2157,0.2248,1727049599999,True
1727049600000,0.2247,0.2476,0.219,0.2425,1727135999999,True
1727136000000,0.2427,0.2508,0.2365,0.249,1727222399999,True
1727222400000,0.2491,0.2564,0.242,0.2443,1727308799999,True
1727308800000,0.2442,0.2598,0.2367,0.2521,1727395199999,True
1727395200000,0.252,0.2613,0.2496,0.2581,1727481599999,True
1727481600000,0.2582,0.2665,0.244,0.2498,1727567999999,True
1727568000000,0.2498,0.2653,0.2409,0.2581,1727654399999,True
1727654400000,0.258,0.2626,0.2325,0.2348,1727740799999,True
1727740800000,0.2347,0.2536,0.203,0.2093,1727827199999,True
1727827200000,0.2092,0.222,0.1928,0.201,1727913599999,True
1727913600000,0.2009,0.2075,0.1889,0.1935,1727999999999,True
1728000000000,0.1936,0.2123,0.1924,0.2094,1728086399999,True
1728086400000,0.2095,0.2167,0.2038,0.2085,1728172799999,True
1728172800000,0.2086,0.2171,0.2057,0.2141,1728259199999,True
1728259200000,0.2141,0.2246,0.2092,0.2116,1728345599999,True
1728345600000,0.2116,0.2157,0.1983,0.2029,1728431999999,True
1728432000000,0.203,0.2083,0.1897,0.192,1728518399999,True
1728518400000,0.1918,0.1963,0.1847,0.1957,1728604799999,True
1728604800000,0.1956,0.2128,0.1948,0.2102,1728691199999,True
1728691200000,0.2102,0.2226,0.2102,0.2192,1728777599999,True
1728777600000,0.2194,0.2235,0.2046,0.2161,1728863999999,True
1728864000000,0.2162,0.2349,0.2135,0.2323,1728950399999,True
1728950400000,0.2322,0.2438,0.2166,0.227,1729036799999,True
1729036800000,0.227,0.2372,0.2188,0.2236,1729123199999,True
1729123200000,0.2235,0.2272,0.2081,0.2163,1729209599999,True
1729209600000,0.2163,0.2316,0.214,0.2275,1729295999999,True
1729296000000,0.2276,0.2311,0.2204,0.2266,1729382399999,True
1729382400000,0.2269,0.2582,0.2224,0.2439,1729468799999,True
1729468800000,0.2442,0.247,0.2255,0.2282,1729555199999,True
1729555200000,0.2285,0.2325,0.2192,0.2273,1729641599999,True
1729641600000,0.2273,0.2298,0.2039,0.2108,1729727999999,True
1729728000000,0.2108,0.2181,0.2074,0.2149,1729814399999,True
1729814400000,0.215,0.2158,0.1793,0.1889,1729900799999,True
1729900800000,0.1888,0.1946,0.1827,0.1896,1729987199999,True
1729987200000,0.1896,0.206,0.1878,0.201,1730073599999,True
1730073600000,0.2011,0.2022,0.185,0.1979,1730159999999,True
1730160000000,0.1979,0.2119,0.1973,0.2104,1730246399999,True
1730246400000,0.2104,0.2129,0.2035,0.2069,1730332799999,True
