open_time,open,high,low,close,close_time,is_closed
1720742400000,0.0874,0.0892,0.0849,0.0892,1720828799999,True
1720828800000,0.0892,0.0923,0.0886,0.0915,1720915199999,True
1720915200000,0.0915,0.0948,0.0909,0.0941,1721001599999,True
1721001600000,0.094,0.0992,0.0932,0.099,1721087999999,True
1721088000000,0.099,0.1018,0.0942,0.0994,1721174399999,True
1721174400000,0.0994,0.102,0.0974,0.0979,1721260799999,True
1721260800000,0.098,0.1014,0.0945,0.096,1721347199999,True
1721347200000,0.096,0.1029,0.0927,0.1019,1721433599999,True
1721433600000,0.1018,0.1023,0.099,0.1013,1721519999999,True
1721520000000,0.1013,0.1037,0.0955,0.1031,1721606399999,True
1721606400000,0.103,0.1032,0.0973,0.0986,1721692799999,True
1721692800000,0.0987,0.1011,0.095,0.0957,1721779199999,True
1721779200000,0.0956,0.0992,0.0934,0.0941,1721865599999,True
1721865600000,0.0939,0.0944,0.0865,0.0914,1721951999999,True
1721952000000,0.0914,0.1098,0.091,0.1036,1722038399999,True
1722038400000,0.1035,0.1063,0.1003,0.1043,1722124799999,True
1722124800000,0.1042,0.1052,0.1007,0.1027,1722211199999,True
1722211200000,0.1028,0.1141,0.0996,0.0999,1722297599999,True
1722297600000,0.0998,0.1059,0.0958,0.0992,1722383999999,True
1722384000000,0.0991,0.101,0.095,0.0953,1722470399999,True
1722470400000,0.0954,0.0966,0.0866,0.0907,1722556799999,True
1722556800000,0.0907,0.0916,0.0835,0.0841,1722643199999,True
1722643200000,0.0841,0.085,0.0756,0.0763,1722729599999,True
1722729600000,0.0762,0.0786,0.0708,0.0738,1722815999999,True
1722816000000,0.0737,0.0746,0.0589,0.0664,1722902399999,True
1722902400000,0.0664,0.0726,0.0664,0.0705,1722988799999,True
1722988800000,0.0707,0.0738,0.0673,0.0689,1723075199999,True
1723075200000,0.069,0.0778,0.0678,0.0774,1723161599999,True
1723161600000,0.0774,0.0784,0.075,0.0773,1723247999999,True
1723248000000,0.0773,0.0788,0.076,0.0783,1723334399999,True
1723334400000,0.0782,0.0795,0.0734,0.0737,1723420799999,True
1723420800000,0.0737,0.079,0.0737,0.078,1723507199999,True
1723507200000,0.078,0.082,0.0753,0.0797,1723593599999,True
