open_time,open,high,low,close,close_time,is_closed
1720742400000,1.66,1.753,1.639,1.712,1720828799999,True
1720828800000,1.712,1.741,1.668,1.689,1720915199999,True
1720915200000,1.69,1.829,1.689,1.801,1721001599999,True
1721001600000,1.8,1.871,1.759,1.851,1721087999999,True
1721088000000,1.851,1.865,1.707,1.79,1721174399999,True
1721174400000,1.791,1.89,1.79,1.81,1721260799999,True
1721260800000,1.81,1.845,1.75,1.826,1721347199999,True
1721347200000,1.827,1.961,1.776,1.956,1721433599999,True
1721433600000,1.955,1.973,1.909,1.926,1721519999999,True
1721520000000,1.926,1.983,1.864,1.973,1721606399999,True
1721606400000,1.973,1.989,1.86,1.874,1721692799999,True
1721692800000,1.874,1.962,1.815,1.871,1721779199999,True
1721779200000,1.871,1.889,1.729,1.735,1721865599999,True
1721865600000,1.736,1.751,1.628,1.694,1721951999999,True
1721952000000,1.694,1.764,1.69,1.735,1722038399999,True
1722038400000,1.735,1.784,1.701,1.745,1722124799999,True
1722124800000,1.746,1.76,1.683,1.703,1722211199999,True
1722211200000,1.703,1.769,1.657,1.667,1722297599999,True
1722297600000,1.667,1.715,1.59,1.629,1722383999999,True
1722384000000,1.629,1.665,1.562,1.582,1722470399999,True
1722470400000,1.582,1.605,1.463,1.574,1722556799999,True
1722556800000,1.573,1.589,1.431,1.463,1722643199999,True
1722643200000,1.463,1.516,1.375,1.423,1722729599999,True
1722729600000,1.424,1.448,1.286,1.33,1722815999999,True
1722816000000,1.33,1.339,1.061,1.17,1722902399999,True
1722902400000,1.171,1.332,1.169,1.275,1722988799999,True
1722988800000,1.275,1.322,1.182,1.199,1723075199999,True
1723075200000,1.199,1.427,1.178,1.426,1723161599999,True
1723161600000,1.427,1.442,1.358,1.41,1723247999999,True
1723248000000,1.41,1.456,1.384,1.426,1723334399999,True
1723334400000,1.427,1.482,1.3,1.309,1723420799999,True
1723420800000,1.309,1.43,1.291,1.38,1723507199999,True
1723507200000,1.38,1.386,1.315,1.365,1723593599999,True
1723593600000,1.366,1.399,1.295,1.327,1723679999999,True
1723680000000,1.328,1.342,1.224,1.25,1723766399999,True
1723766400000,1.251,1.3,1.234,1.28,1723852799999,True
1723852800000,1.281,1.343,1.259,1.342,1723939199999,True
1723939200000,1.342,1.376,1.318,1.335,1724025599999,True
1724025600000,1.335,1.388,1.302,1.37,1724111999999,True
1724112000000,1.37,1.404,1.32,1.352,1724198399999,True
1724198400000,1.352,1.451,1.339,1.448,1724284799999,True
1724284800000,1.449,1.518,1.416,1.51,1724371199999,True
1724371200000,1.511,1.64,1.504,1.614,1724457599999,True
1724457600000,1.614,1.647,1.578,1.605,1724543999999,True
1724544000000,1.605,1.607,1.522,1.551,1724630399999,True
1724630400000,1.551,1.566,1.471,1.485,1724716799999,True
1724716800000,1.485,1.517,1.351,1.373,1724803199999,True
1724803200000,1.373,1.441,1.36,1.425,1724889599999,True
1724889600000,1.426,1.496,1.402,1.426,1724975999999,True
1724976000000,1.425,1.478,1.368,1.47,1725062399999,True
1725062400000,1.47,1.483,1.414,1.417,1725148799999,True
1725148800000,1.417,1.423,1.346,1.357,1725235199999,True
1725235200000,1.357,1.426,1.34,1.408,1725321599999,True
1725321600000,1.409,1.439,1.34,1.348,1725407999999,True
1725408000000,1.349,1.381,1.271,1.348,1725494399999,True
1725494400000,1.348,1.366,1.324,1.358,1725580799999,True
1725580800000,1.358,1.384,1.289,1.337,1725667199999,True
1725667200000,1.337,1.436,1.337,1.417,1725753599999,True
1725753600000,1.417,1.473,1.393,1.418,1725839999999,True
1725840000000,1.418,1.547,1.418,1.531,1725926399999,True
1725926400000,1.531,1.636,1.522,1.61,1726012799999,True
1726012800000,1.611,1.617,1.534,1.545,1726099199999,True
1726099200000,1.546,1.574,1.51,1.539,1726185599999,True
1726185600000,1.539,1.564,1.502,1.548,1726271999999,True
1726272000000,1.549,1.574,1.528,1.568,1726358399999,True
1726358400000,1.568,1.589,1.465,1.473,1726444799999,True
1726444800000,1.473,1.502,1.431,1.452,1726531199999,True
1726531200000,1.453,1.507,1.438,1.452,1726617599999,True
1726617600000,1.453,1.514,1.408,1.512,1726703999999,True
1726704000000,1.513,1.652,1.513,1.606,1726790399999,True
1726790400000,1.605,1.697,1.577,1.681,1726876799999,True
1726876800000,1.681,1.773,1.621,1.768,1726963199999,True
1726963200000,1.768,1.81,1.649,1.69,1727049599999,True
1727049600000,1.691,1.773,1.659,1.697,1727135999999,True
1727136000000,1.697,1.752,1.59,1.735,1727222399999,True
1727222400000,1.735,1.768,1.677,1.683,1727308799999,True
1727308800000,1.684,1.782,1.659,1.751,1727395199999,True
1727395200000,1.751,1.94,1.744,1.9,1727481599999,True
1727481600000,1.901,1.923,1.83,1.88,1727567999999,True
1727568000000,1.88,1.923,1.834,1.902,1727654399999,True
1727654400000,1.903,1.923,1.735,1.749,1727740799999,True
1727740800000,1.749,1.879,1.604,1.664,1727827199999,True
1727827200000,1.663,1.711,1.568,1.585,1727913599999,True
1727913600000,1.586,1.619,1.474,1.519,1727999999999,True
1728000000000,1.52,1.625,1.51,1.606,1728086399999,True
1728086400000,1.606,1.648,1.57,1.596,1728172799999,True
1728172800000,1.596,1.686,1.576,1.684,1728259199999,True
