open_time,open,high,low,close,close_time,is_closed
1742860800000,0.025,0.4382,0.025,0.328,1742947199999,True
1742947200000,0.3283,0.41,0.3108,0.3433,1743033599999,True
1743033600000,0.3432,0.386,0.3228,0.342,1743119999999,True
1743120000000,0.3421,0.36,0.2978,0.3115,1743206399999,True
1743206400000,0.3115,0.3168,0.2394,0.2495,1743292799999,True
1743292800000,0.2496,0.2754,0.2237,0.2581,1743379199999,True
1743379200000,0.2582,0.2633,0.2298,0.2335,1743465599999,True
1743465600000,0.2335,0.2401,0.2127,0.2128,1743551999999,True
1743552000000,0.2129,0.2132,0.183,0.1835,1743638399999,True
1743638400000,0.1835,0.2076,0.183,0.1927,1743724799999,True
1743724800000,0.1927,0.198,0.1852,0.1884,1743811199999,True
1743811200000,0.1884,0.228,0.1671,0.1713,1743897599999,True
1743897600000,0.1713,0.1784,0.1548,0.1673,1743983999999,True
1743984000000,0.1672,0.183,0.16,0.176,1744070399999,True
1744070400000,0.176,0.1813,0.1629,0.1774,1744156799999,True
1744156800000,0.1773,0.2117,0.1742,0.2011,1744243199999,True
1744243200000,0.2013,0.2027,0.1734,0.1762,1744329599999,True
1744329600000,0.1761,0.1919,0.1674,0.184,1744415999999,True
1744416000000,0.1839,0.2204,0.1763,0.2016,1744502399999,True
1744502400000,0.2017,0.209,0.173,0.1787,1744588799999,True
1744588800000,0.1787,0.183,0.1593,0.1606,1744675199999,True
1744675200000,0.1606,0.1606,0.1432,0.1467,1744761599999,True
1744761600000,0.1468,0.1564,0.1439,0.1439,1744847999999,True
1744848000000,0.1439,0.1549,0.142,0.1486,1744934399999,True
1744934400000,0.1487,0.154,0.1423,0.1429,1745020799999,True
1745020800000,0.1428,0.1518,0.1399,0.1497,1745107199999,True
1745107200000,0.1498,0.165,0.1475,0.1632,1745193599999,True
1745193600000,0.1631,0.1784,0.1618,0.1768,1745279999999,True
1745280000000,0.177,0.1871,0.1663,0.1799,1745366399999,True
1745366400000,0.1799,0.1934,0.1762,0.1777,1745452799999,True
1745452800000,0.1778,0.1808,0.1707,0.1758,1745539199999,True
1745539200000,0.1758,0.182,0.1687,0.1725,1745625599999,True
1745625600000,0.1725,0.1856,0.1714,0.1787,1745711999999,True
1745712000000,0.1787,0.195,0.1709,0.1924,1745798399999,True
1745798400000,0.1923,0.1991,0.1746,0.1891,1745884799999,True
1745884800000,0.189,0.2004,0.1853,0.1889,1745971199999,True
1745971200000,0.1888,0.2165,0.1837,0.2102,1746057599999,True
1746057600000,0.2102,0.2116,0.1976,0.2059,1746143999999,True
1746144000000,0.2058,0.2356,0.2015,0.2086,1746230399999,True
1746230400000,0.2089,0.2316,0.1938,0.1978,1746316799999,True
1746316800000,0.1977,0.2372,0.1924,0.2343,1746403199999,True
1746403200000,0.2343,0.3268,0.2233,0.3069,1746489599999,True
1746489600000,0.307,0.34,0.2185,0.2272,1746575999999,True
1746576000000,0.2273,0.2341,0.2072,0.2246,1746662399999,True
1746662400000,0.2247,0.2738,0.2221,0.2412,1746748799999,True
1746748800000,0.2411,0.2607,0.235,0.2566,1746835199999,True
1746835200000,0.2565,0.3118,0.2495,0.3008,1746921599999,True
1746921600000,0.3008,0.4213,0.2937,0.3781,1747007999999,True
