open_time,open,high,low,close,close_time,is_closed
1720742400000,3.06,3.142,2.972,3.136,1720828799999,True
1720828800000,3.136,3.149,3.067,3.118,1720915199999,True
1720915200000,3.119,3.26,3.091,3.221,1721001599999,True
1721001600000,3.221,3.453,3.214,3.433,1721087999999,True
1721088000000,3.429,3.483,3.26,3.385,1721174399999,True
1721174400000,3.382,3.498,3.34,3.402,1721260799999,True
1721260800000,3.399,3.729,3.398,3.533,1721347199999,True
1721347200000,3.532,3.67,3.346,3.599,1721433599999,True
1721433600000,3.599,3.669,3.495,3.632,1721519999999,True
1721520000000,3.633,3.67,3.5,3.658,1721606399999,True
1721606400000,3.662,3.671,3.373,3.394,1721692799999,True
1721692800000,3.393,3.497,3.223,3.385,1721779199999,True
1721779200000,3.385,3.43,3.14,3.184,1721865599999,True
1721865600000,3.184,3.202,3.051,3.164,1721951999999,True
1721952000000,3.16,3.329,3.144,3.317,1722038399999,True
1722038400000,3.318,3.373,3.204,3.282,1722124799999,True
1722124800000,3.281,3.288,3.097,3.161,1722211199999,True
1722211200000,3.166,3.287,3.139,3.173,1722297599999,True
1722297600000,3.173,3.212,3.022,3.045,1722383999999,True
1722384000000,3.045,3.116,2.93,2.93,1722470399999,True
1722470400000,2.93,2.988,2.742,2.968,1722556799999,True
1722556800000,2.966,2.972,2.708,2.764,1722643199999,True
1722643200000,2.765,2.801,2.561,2.596,1722729599999,True
1722729600000,2.597,2.872,2.484,2.582,1722815999999,True
1722816000000,2.582,2.604,2.059,2.394,1722902399999,True
1722902400000,2.395,2.532,2.384,2.447,1722988799999,True
1722988800000,2.44,2.563,2.303,2.352,1723075199999,True
1723075200000,2.356,2.685,2.333,2.672,1723161599999,True
1723161600000,2.674,2.674,2.524,2.605,1723247999999,True
1723248000000,2.607,2.77,2.569,2.708,1723334399999,True
1723334400000,2.708,2.756,2.536,2.559,1723420799999,True
1723420800000,2.559,2.746,2.507,2.654,1723507199999,True
1723507200000,2.658,2.696,2.584,2.662,1723593599999,True
