open_time,open,high,low,close,close_time,is_closed
1781740800000,0.05,0.6381,0.05,0.4359,1781827199999,True
1781827200000,0.436,0.921,0.42,0.8892,1781913599999,True
1781913600000,0.8887,1.0943,0.788,1.0048,1781999999999,True
1782000000000,1.0044,1.0621,0.8419,0.9106,1782086399999,True
1782086400000,0.9104,1.0344,0.7715,0.8767,1782172799999,True
1782172800000,0.8769,0.8836,0.7914,0.8072,1782259199999,True
1782259200000,0.8072,0.8155,0.6284,0.6626,1782345599999,True
1782345600000,0.6625,0.6629,0.5472,0.5856,1782431999999,True
1782432000000,0.5858,0.6435,0.531,0.5578,1782518399999,True
1782518400000,0.5576,0.6992,0.5364,0.6934,1782604799999,True
1782604800000,0.6929,0.6992,0.593,0.6064,1782691199999,True
1782691200000,0.606,0.8165,0.5593,0.7837,1782777599999,True
1782777600000,0.7837,0.8308,0.6359,0.6487,1782863999999,True
1782864000000,0.6485,0.6996,0.5834,0.5844,1782950399999,True
1782950400000,0.5849,0.7556,0.5802,0.6885,1783036799999,True
1783036800000,0.6885,0.7212,0.6124,0.6222,1783123199999,True
1783123200000,0.622,0.6497,0.6074,0.6336,1783209599999,True
1783209600000,0.6334,0.6825,0.6085,0.6462,1783295999999,True
1783296000000,0.6463,0.6658,0.6019,0.6575,1783382399999,True
1783382400000,0.6579,0.7554,0.6274,0.6303,1783468799999,True
1783468800000,0.631,0.6501,0.59,0.603,1783555199999,True
1783555200000,0.6036,0.6226,0.5781,0.585,1783641599999,True
1783641600000,0.5851,0.5922,0.5646,0.5751,1783727999999,True
1783728000000,0.575,0.6071,0.5675,0.5815,1783814399999,True
