open_time,open,high,low,close,close_time,is_closed
1720742400000,0.0777,0.08,0.0757,0.0795,1720828799999,True
1720828800000,0.0796,0.0814,0.0777,0.0801,1720915199999,True
1720915200000,0.0801,0.0837,0.0796,0.0833,1721001599999,True
1721001600000,0.0833,0.0895,0.0825,0.0894,1721087999999,True
1721088000000,0.0893,0.0923,0.0842,0.0912,1721174399999,True
1721174400000,0.0912,0.0955,0.0907,0.091,1721260799999,True
1721260800000,0.0911,0.093,0.0876,0.0901,1721347199999,True
1721347200000,0.09,0.0935,0.0873,0.0933,1721433599999,True
1721433600000,0.0932,0.0935,0.0906,0.0932,1721519999999,True
1721520000000,0.0931,0.0948,0.0891,0.0942,1721606399999,True
1721606400000,0.0943,0.095,0.0859,0.0865,1721692799999,True
1721692800000,0.0866,0.0886,0.0809,0.0833,1721779199999,True
1721779200000,0.0833,0.0846,0.0799,0.0809,1721865599999,True
1721865600000,0.0809,0.0812,0.0762,0.0795,1721951999999,True
1721952000000,0.0794,0.0899,0.0793,0.0886,1722038399999,True
1722038400000,0.0886,0.1023,0.0883,0.099,1722124799999,True
1722124800000,0.0989,0.1051,0.0887,0.0905,1722211199999,True
1722211200000,0.0905,0.1187,0.0905,0.115,1722297599999,True
1722297600000,0.115,0.122,0.1134,0.1169,1722383999999,True
1722384000000,0.1169,0.1311,0.1023,0.104,1722470399999,True
1722470400000,0.104,0.1131,0.0973,0.0984,1722556799999,True
1722556800000,0.0985,0.1018,0.0923,0.0942,1722643199999,True
1722643200000,0.0942,0.0945,0.0839,0.0854,1722729599999,True
1722729600000,0.0854,0.086,0.0757,0.0758,1722815999999,True
1722816000000,0.0757,0.0769,0.0561,0.0675,1722902399999,True
1722902400000,0.0675,0.0734,0.0669,0.0697,1722988799999,True
1722988800000,0.0696,0.0721,0.0633,0.0638,1723075199999,True
1723075200000,0.0637,0.076,0.0623,0.0754,1723161599999,True
1723161600000,0.0755,0.0782,0.0743,0.0763,1723247999999,True
1723248000000,0.0763,0.0775,0.0738,0.0745,1723334399999,True
1723334400000,0.0745,0.0839,0.0707,0.0715,1723420799999,True
1723420800000,0.0714,0.0795,0.0697,0.0766,1723507199999,True
1723507200000,0.0766,0.0854,0.0739,0.0831,1723593599999,True
1723593600000,0.083,0.0836,0.0775,0.0779,1723679999999,True
1723680000000,0.0779,0.0793,0.0693,0.0745,1723766399999,True
1723766400000,0.0744,0.0744,0.0701,0.0718,1723852799999,True
1723852800000,0.0718,0.073,0.0703,0.0728,1723939199999,True
1723939200000,0.0726,0.0837,0.0713,0.0795,1724025599999,True
1724025600000,0.0795,0.0828,0.0768,0.0809,1724111999999,True
1724112000000,0.0809,0.083,0.0774,0.0793,1724198399999,True
