open_time,open,high,low,close,close_time,is_closed
1720396800000,6.357,6.803,6.05,6.355,1720483199999,True
1720483200000,6.35,6.545,6.228,6.474,1720569599999,True
1720569600000,6.472,6.902,6.334,6.49,1720655999999,True
1720656000000,6.491,6.677,5.921,5.972,1720742399999,True
1720742400000,5.971,6.24,5.686,6.12,1720828799999,True
1720828800000,6.12,6.24,5.952,6.012,1720915199999,True
1720915200000,6.011,6.265,6.0,6.183,1721001599999,True
1721001600000,6.181,6.786,6.131,6.716,1721087999999,True
1721088000000,6.715,6.829,6.258,6.59,1721174399999,True
1721174400000,6.592,7.063,6.381,6.671,1721260799999,True
1721260800000,6.668,7.002,6.21,6.438,1721347199999,True
1721347200000,6.438,6.848,6.328,6.655,1721433599999,True
1721433600000,6.657,7.02,6.548,7.005,1721519999999,True
1721520000000,7.004,7.26,6.723,7.185,1721606399999,True
1721606400000,7.181,7.189,6.811,7.03,1721617199999,True
