open_time,open,high,low,close,close_time,is_closed
1683072000000,0.1,2.0,0.1,1.4016,1683158399999,True
1683158400000,1.4016,1.499,1.2961,1.3303,1683244799999,True
1683244800000,1.3303,1.38,1.26,1.3064,1683331199999,True
1683331200000,1.3067,1.3752,1.27,1.3297,1683417599999,True
1683417600000,1.3299,1.3469,1.22,1.2431,1683503999999,True
1683504000000,1.243,1.2439,1.0222,1.1374,1683590399999,True
1683590400000,1.1377,1.2158,1.0932,1.1842,1683676799999,True
1683676800000,1.1842,1.2448,1.0988,1.1787,1683763199999,True
1683763200000,1.1788,1.1819,1.0336,1.0736,1683849599999,True
1683849600000,1.0737,1.1229,1.013,1.1152,1683935999999,True
1683936000000,1.115,1.14,1.0855,1.0994,1684022399999,True
1684022400000,1.0993,1.2049,1.0677,1.1591,1684108799999,True
1684108800000,1.1589,1.2548,1.1241,1.193,1684195199999,True
1684195200000,1.1934,1.2071,1.1405,1.1651,1684281599999,True
1684281600000,1.1654,1.2155,1.1115,1.2131,1684367999999,True
1684368000000,1.2131,1.2245,1.1266,1.1415,1684454399999,True
1684454400000,1.1413,1.1494,1.1153,1.1304,1684540799999,True
1684540800000,1.1304,1.1343,1.108,1.124,1684627199999,True
1684627200000,1.1241,1.153,1.051,1.073,1684713599999,True
1684713600000,1.0729,1.0781,1.0337,1.0502,1684799999999,True
1684800000000,1.0502,1.098,1.0228,1.0533,1684886399999,True
1684886400000,1.0532,1.0532,0.9413,0.9784,1684972799999,True
1684972800000,0.9784,1.0103,0.9366,0.982,1685059199999,True
1685059200000,0.9821,1.01,0.9627,0.9911,1685145599999,True
1685145600000,0.9911,1.0176,0.9827,0.998,1685231999999,True
1685232000000,0.998,1.0729,0.9926,1.0617,1685318399999,True
1685318400000,1.0619,1.1,1.0225,1.0392,1685404799999,True
1685404800000,1.0391,1.0619,0.9893,1.0011,1685491199999,True
1685491200000,1.001,1.0097,0.9429,0.9743,1685577599999,True
1685577600000,0.9746,0.9794,0.94,0.9461,1685663999999,True
1685664000000,0.946,0.963,0.905,0.9414,1685750399999,True
1685750400000,0.9414,0.9568,0.9068,0.9333,1685836799999,True
1685836800000,0.9332,0.9785,0.9266,0.9602,1685923199999,True
1685923200000,0.9604,0.9715,0.75,0.8169,1686009599999,True
1686009600000,0.8171,0.8496,0.7553,0.8314,1686095999999,True
1686096000000,0.8314,0.8314,0.7433,0.7572,1686182399999,True
1686182400000,0.7572,0.7937,0.715,0.7287,1686268799999,True
1686268800000,0.7287,0.7627,0.7102,0.7382,1686355199999,True
1686355200000,0.7382,0.7417,0.51,0.6095,1686441599999,True
1686441600000,0.6095,0.6242,0.5865,0.6055,1686527999999,True
1686528000000,0.6054,0.6876,0.5693,0.6633,1686614399999,True
1686614400000,0.6633,0.7294,0.6618,0.6983,1686700799999,True
1686700800000,0.6982,0.7131,0.6273,0.6506,1686787199999,True
1686787200000,0.6505,0.6592,0.6201,0.649,1686873599999,True
1686873600000,0.6489,0.7217,0.6227,0.7072,1686959999999,True
1686960000000,0.7072,0.785,0.7043,0.7541,1687046399999,True
1687046400000,0.7539,0.7961,0.7096,0.7207,1687132799999,True
1687132800000,0.7206,0.7926,0.7093,0.7851,1687219199999,True
1687219200000,0.7851,0.8278,0.7485,0.8189,1687305599999,True
1687305600000,0.819,0.8506,0.7686,0.8312,1687391999999,True
1687392000000,0.8312,0.8899,0.7901,0.803,1687478399999,True
1687478400000,0.803,0.8361,0.7781,0.7984,1687564799999,True
1687564800000,0.7983,0.7984,0.7232,0.7528,1687651199999,True
1687651200000,0.7529,0.7805,0.74,0.7451,1687737599999,True
1687737600000,0.7451,0.7605,0.7114,0.7265,1687823999999,True
1687824000000,0.7264,0.7575,0.7022,0.7203,1687910399999,True
1687910400000,0.7203,0.7208,0.6366,0.6631,1687996799999,True
