open_time,open,high,low,close,close_time,is_closed
1746662400000,0.06,0.1988,0.06,0.1454,1746748799999,True
1746748800000,0.1453,0.1623,0.1171,0.129,1746835199999,True
1746835200000,0.129,0.1379,0.1196,0.1321,1746921599999,True
1746921600000,0.1321,0.1591,0.1276,0.1536,1747007999999,True
1747008000000,0.1535,0.1565,0.127,0.135,1747094399999,True
1747094400000,0.135,0.1495,0.1263,0.1442,1747180799999,True
1747180800000,0.1441,0.1642,0.1397,0.1438,1747267199999,True
1747267200000,0.1439,0.1494,0.125,0.1302,1747353599999,True
1747353600000,0.1302,0.1362,0.1253,0.1267,1747439999999,True
1747440000000,0.1268,0.1268,0.1069,0.1151,1747526399999,True
1747526400000,0.1151,0.1231,0.1077,0.1169,1747612799999,True
1747612800000,0.1169,0.1171,0.1037,0.1079,1747699199999,True
1747699200000,0.1079,0.147,0.1058,0.1444,1747785599999,True
1747785600000,0.1445,0.1518,0.1274,0.1317,1747871999999,True
1747872000000,0.1317,0.1366,0.1265,0.1327,1747958399999,True
1747958400000,0.1327,0.1373,0.1133,0.1159,1748044799999,True
1748044800000,0.1159,0.1262,0.1156,0.12,1748131199999,True
1748131200000,0.1199,0.1263,0.1153,0.123,1748217599999,True
1748217600000,0.123,0.1259,0.1174,0.1206,1748303999999,True
1748304000000,0.1205,0.1251,0.1162,0.1238,1748390399999,True
1748390400000,0.1239,0.1282,0.1153,0.1192,1748476799999,True
1748476800000,0.1192,0.1215,0.1102,0.1115,1748563199999,True
1748563200000,0.1114,0.1116,0.0946,0.0975,1748649599999,True
1748649600000,0.0975,0.1035,0.0932,0.1007,1748735999999,True
1748736000000,0.1008,0.1059,0.0993,0.1045,1748822399999,True
1748822400000,0.1045,0.1048,0.0972,0.1013,1748908799999,True
1748908800000,0.1014,0.1043,0.1,0.1018,1748995199999,True
1748995200000,0.1017,0.1052,0.0967,0.0983,1749081599999,True
1749081600000,0.0983,0.1077,0.0905,0.0935,1749167999999,True
1749168000000,0.0934,0.1,0.0921,0.0941,1749254399999,True
1749254400000,0.094,0.0996,0.0937,0.0994,1749340799999,True
1749340800000,0.0993,0.0997,0.0967,0.0981,1749427199999,True
1749427200000,0.0979,0.0989,0.0918,0.0982,1749513599999,True
1749513600000,0.0982,0.1017,0.0942,0.1013,1749599999999,True
1749600000000,0.1014,0.104,0.0918,0.0937,1749686399999,True
1749686400000,0.0937,0.0937,0.0818,0.0821,1749772799999,True
1749772800000,0.0822,0.0822,0.074,0.08,1749859199999,True
1749859200000,0.08,0.0816,0.0772,0.0786,1749945599999,True
1749945600000,0.0787,0.0788,0.0743,0.0762,1750031999999,True
1750032000000,0.0763,0.081,0.0751,0.0752,1750118399999,True
1750118400000,0.0752,0.077,0.0694,0.0711,1750204799999,True
1750204800000,0.0711,0.073,0.0668,0.0728,1750291199999,True
1750291200000,0.0728,0.0744,0.0683,0.0695,1750377599999,True
1750377600000,0.0695,0.0726,0.0661,0.0677,1750463999999,True
1750464000000,0.0676,0.0698,0.0619,0.0643,1750550399999,True
1750550400000,0.0644,0.0655,0.0586,0.0617,1750636799999,True
1750636800000,0.0616,0.0736,0.0613,0.072,1750723199999,True
1750723200000,0.0721,0.0786,0.0718,0.0775,1750809599999,True
1750809600000,0.0774,0.0781,0.0705,0.0712,1750895999999,True
1750896000000,0.0712,0.0736,0.066,0.0674,1750982399999,True
1750982400000,0.0674,0.0695,0.0664,0.0691,1751068799999,True
1751068800000,0.069,0.0697,0.0644,0.0681,1751155199999,True
1751155200000,0.0681,0.0723,0.0664,0.0715,1751241599999,True
1751241600000,0.0716,0.0808,0.067,0.0677,1751327999999,True
1751328000000,0.0677,0.0783,0.0659,0.0743,1751414399999,True
1751414400000,0.0743,0.0804,0.0705,0.0784,1751500799999,True
1751500800000,0.0784,0.0785,0.073,0.0743,1751587199999,True
1751587200000,0.0744,0.0769,0.0685,0.0696,1751673599999,True
1751673600000,0.0697,0.071,0.0666,0.0678,1751759999999,True
1751760000000,0.0678,0.0705,0.0669,0.0695,1751846399999,True
1751846400000,0.0695,0.0702,0.0664,0.0681,1751932799999,True
1751932800000,0.068,0.0761,0.0647,0.0718,1752019199999,True
1752019200000,0.0718,0.0756,0.0702,0.075,1752105599999,True
1752105600000,0.0749,0.0903,0.0737,0.0859,1752191999999,True
1752192000000,0.0859,0.0923,0.0786,0.0797,1752278399999,True
1752278400000,0.0797,0.0846,0.0755,0.0831,1752364799999,True
1752364800000,0.0831,0.0938,0.0812,0.0862,1752451199999,True
1752451200000,0.0862,0.0918,0.0842,0.0868,1752537599999,True
1752537600000,0.0867,0.1024,0.0846,0.0955,1752623999999,True
1752624000000,0.0955,0.0979,0.0928,0.0939,1752710399999,True
1752710400000,0.0941,0.0954,0.0876,0.0915,1752796799999,True
1752796800000,0.0914,0.0953,0.0847,0.086,1752883199999,True
1752883200000,0.0861,0.0869,0.0799,0.0834,1752969599999,True
1752969600000,0.0835,0.089,0.0829,0.0849,1753055999999,True
1753056000000,0.0848,0.0883,0.0825,0.0862,1753142399999,True
1753142400000,0.0861,0.0994,0.0822,0.0909,1753228799999,True
1753228800000,0.0911,0.1248,0.0897,0.1107,1753315199999,True
1753315200000,0.1107,0.117,0.0927,0.0944,1753401599999,True
1753401600000,0.0944,0.0948,0.086,0.0943,1753487999999,True
1753488000000,0.0943,0.0958,0.0899,0.0924,1753574399999,True
1753574400000,0.0923,0.1028,0.0923,0.0976,1753660799999,True
1753660800000,0.0976,0.0997,0.0887,0.09,1753747199999,True
1753747200000,0.09,0.0909,0.0844,0.0861,1753833599999,True
1753833600000,0.0861,0.087,0.0796,0.0859,1753919999999,True
1753920000000,0.086,0.0883,0.0779,0.0784,1754006399999,True
1754006400000,0.0785,0.0872,0.0769,0.0841,1754092799999,True
1754092800000,0.0841,0.0854,0.0796,0.0829,1754179199999,True
1754179200000,0.0829,0.0966,0.0813,0.0876,1754265599999,True
1754265600000,0.0876,0.0891,0.0847,0.0869,1754351999999,True
1754352000000,0.087,0.0878,0.0793,0.08,1754438399999,True
1754438400000,0.08,0.0885,0.0791,0.0844,1754524799999,True
1754524800000,0.0844,0.0887,0.0834,0.0881,1754611199999,True
1754611200000,0.0881,0.0943,0.0855,0.0899,1754697599999,True
1754697600000,0.09,0.0947,0.0888,0.0915,1754783999999,True
1754784000000,0.0916,0.093,0.0863,0.0886,1754870399999,True
1754870400000,0.0886,0.0912,0.0831,0.0833,1754956799999,True
1754956800000,0.0833,0.0895,0.0832,0.0885,1755043199999,True
1755043200000,0.0886,0.0909,0.0879,0.0901,1755129599999,True
1755129600000,0.0901,0.0907,0.08,0.0823,1755215999999,True
1755216000000,0.0823,0.095,0.0813,0.0839,1755302399999,True
1755302400000,0.0839,0.0846,0.0823,0.0833,1755388799999,True
1755388800000,0.0834,0.0855,0.0824,0.083,1755475199999,True
1755475200000,0.083,0.0833,0.0791,0.0808,1755561599999,True
1755561600000,0.0807,0.0815,0.0742,0.0749,1755647999999,True
1755648000000,0.075,0.0789,0.075,0.0784,1755734399999,True
1755734400000,0.0784,0.0787,0.0728,0.0747,1755820799999,True
1755820800000,0.0747,0.0803,0.0718,0.0799,1755907199999,True
1755907200000,0.0799,0.0808,0.0768,0.0792,1755993599999,True
1755993600000,0.0792,0.0815,0.0755,0.0777,1756079999999,True
1756080000000,0.0777,0.0784,0.0702,0.0719,1756166399999,True
1756166400000,0.0719,0.0762,0.0712,0.0741,1756252799999,True
1756252800000,0.0741,0.0747,0.0718,0.0723,1756339199999,True
1756339200000,0.0723,0.0745,0.072,0.0742,1756425599999,True
1756425600000,0.0741,0.0742,0.0688,0.0705,1756511999999,True
1756512000000,0.0705,0.0772,0.0695,0.0733,1756598399999,True
1756598400000,0.0733,0.0747,0.0722,0.0723,1756684799999,True
1756684800000,0.0723,0.0736,0.0692,0.0705,1756771199999,True
1756771200000,0.0706,0.0783,0.0703,0.0755,1756857599999,True
1756857600000,0.0756,0.0785,0.0728,0.0777,1756943999999,True
1756944000000,0.0778,0.0784,0.0728,0.0728,1757030399999,True
1757030400000,0.0728,0.0765,0.0722,0.0756,1757116799999,True
1757116800000,0.0755,0.0809,0.0754,0.0791,1757203199999,True
1757203200000,0.0792,0.0814,0.0777,0.0798,1757289599999,True
1757289600000,0.0798,0.0879,0.0787,0.0866,1757375999999,True
1757376000000,0.0866,0.0883,0.0797,0.0812,1757462399999,True
1757462400000,0.0811,0.0841,0.0793,0.0825,1757548799999,True
1757548800000,0.0825,0.0837,0.0804,0.0828,1757635199999,True
1757635200000,0.0827,0.0845,0.0809,0.0833,1757721599999,True
1757721600000,0.0834,0.0852,0.0796,0.0811,1757807999999,True
1757808000000,0.0811,0.0824,0.0785,0.0804,1757894399999,True
1757894400000,0.0804,0.0825,0.0766,0.0778,1757980799999,True
1757980800000,0.0778,0.0807,0.0762,0.0799,1758067199999,True
1758067200000,0.0798,0.0816,0.077,0.0804,1758153599999,True
1758153600000,0.0805,0.0878,0.0801,0.086,1758239999999,True
1758240000000,0.086,0.0867,0.0818,0.0825,1758326399999,True
1758326400000,0.0825,0.0842,0.0807,0.081,1758412799999,True
1758412800000,0.081,0.0839,0.0805,0.0806,1758499199999,True
1758499200000,0.0806,0.0816,0.0605,0.0724,1758585599999,True
1758585600000,0.0725,0.073,0.069,0.0702,1758671999999,True
1758672000000,0.0702,0.0724,0.0684,0.0701,1758758399999,True
1758758400000,0.0702,0.0702,0.064,0.0649,1758844799999,True
1758844800000,0.0649,0.0693,0.0649,0.0686,1758931199999,True
1758931200000,0.0686,0.0699,0.0674,0.0686,1759017599999,True
1759017600000,0.0686,0.069,0.0663,0.0687,1759103999999,True
1759104000000,0.0687,0.0687,0.0656,0.067,1759190399999,True
1759190400000,0.067,0.067,0.0626,0.0649,1759276799999,True
1759276800000,0.065,0.0718,0.0642,0.0707,1759363199999,True
