open_time,open,high,low,close,close_time,is_closed
1720742400000,0.4532,0.4588,0.4271,0.4486,1720828799999,True
1720828800000,0.4479,0.4515,0.4352,0.45,1720915199999,True
1720915200000,0.4498,0.4778,0.447,0.472,1721001599999,True
1721001600000,0.472,0.4985,0.4717,0.4928,1721087999999,True
1721088000000,0.4921,0.497,0.4622,0.4856,1721174399999,True
1721174400000,0.4856,0.4968,0.4608,0.4664,1721260799999,True
1721260800000,0.4659,0.4768,0.4367,0.4442,1721347199999,True
1721347200000,0.4443,0.4769,0.4367,0.4625,1721433599999,True
1721433600000,0.4625,0.6,0.4536,0.5248,1721519999999,True
1721520000000,0.5247,0.62,0.5011,0.55,1721606399999,True
1721606400000,0.5507,0.6,0.53,0.5379,1721692799999,True
1721692800000,0.5379,0.5647,0.5167,0.5284,1721779199999,True
1721779200000,0.5282,0.5512,0.5011,0.5014,1721865599999,True
1721865600000,0.5014,0.5038,0.4663,0.4832,1721951999999,True
1721952000000,0.4832,0.5044,0.4816,0.4934,1722038399999,True
1722038400000,0.4936,0.5035,0.4715,0.478,1722124799999,True
1722124800000,0.478,0.4829,0.4602,0.4669,1722211199999,True
1722211200000,0.4669,0.4817,0.4588,0.4681,1722297599999,True
1722297600000,0.4681,0.4741,0.4271,0.435,1722383999999,True
1722384000000,0.4353,0.4458,0.427,0.4295,1722470399999,True
1722470400000,0.429,0.431,0.3923,0.4171,1722556799999,True
1722556800000,0.4173,0.4239,0.3806,0.3867,1722643199999,True
1722643200000,0.3861,0.3935,0.3571,0.3686,1722729599999,True
1722729600000,0.3687,0.3716,0.3149,0.3384,1722815999999,True
1722816000000,0.3384,0.3384,0.2633,0.3126,1722902399999,True
1722902400000,0.3117,0.3405,0.3117,0.3236,1722988799999,True
1722988800000,0.3237,0.3555,0.3107,0.3179,1723075199999,True
1723075200000,0.3179,0.3677,0.3131,0.3655,1723161599999,True
1723161600000,0.365,0.366,0.3451,0.3551,1723247999999,True
1723248000000,0.3552,0.3619,0.3499,0.36,1723334399999,True
1723334400000,0.3596,0.3732,0.3376,0.343,1723420799999,True
1723420800000,0.343,0.3726,0.3377,0.3618,1723507199999,True
1723507200000,0.3618,0.3635,0.3423,0.3564,1723593599999,True
1723593600000,0.3561,0.3649,0.3442,0.3451,1723679999999,True
1723680000000,0.345,0.4517,0.3429,0.3766,1723766399999,True
1723766400000,0.3764,0.6181,0.3652,0.5976,1723852799999,True
1723852800000,0.5974,0.7564,0.5536,0.6452,1723939199999,True
1723939200000,0.6454,0.8175,0.5981,0.6742,1724025599999,True
1724025600000,0.6742,0.688,0.5455,0.5559,1724111999999,True
1724112000000,0.5558,0.6084,0.5265,0.5463,1724198399999,True
1724198400000,0.5462,0.5972,0.5416,0.5592,1724284799999,True
1724284800000,0.5595,0.6,0.558,0.5704,1724371199999,True
1724371200000,0.5705,0.6193,0.5522,0.6169,1724457599999,True
1724457600000,0.6172,0.6233,0.5645,0.5765,1724543999999,True
1724544000000,0.5763,0.6073,0.5583,0.5854,1724630399999,True
1724630400000,0.5849,0.6266,0.5441,0.5468,1724716799999,True
1724716800000,0.5465,0.5599,0.4998,0.5181,1724803199999,True
1724803200000,0.5179,0.5202,0.475,0.4941,1724889599999,True
1724889600000,0.4941,0.5118,0.4761,0.4815,1724975999999,True
1724976000000,0.4813,0.4868,0.4465,0.4767,1725062399999,True
1725062400000,0.4769,0.4818,0.4567,0.4578,1725148799999,True
