open_time,open,high,low,close,close_time,is_closed
1720742400000,1.338,1.404,1.321,1.397,1720828799999,True
1720828800000,1.397,1.436,1.382,1.417,1720915199999,True
1720915200000,1.417,1.466,1.404,1.46,1721001599999,True
1721001600000,1.461,1.551,1.447,1.544,1721087999999,True
1721088000000,1.546,1.574,1.459,1.52,1721174399999,True
1721174400000,1.52,1.577,1.481,1.481,1721260799999,True
1721260800000,1.482,1.529,1.438,1.487,1721347199999,True
1721347200000,1.487,1.604,1.458,1.577,1721433599999,True
1721433600000,1.576,1.65,1.562,1.637,1721519999999,True
1721520000000,1.638,1.671,1.541,1.645,1721606399999,True
1721606400000,1.646,1.658,1.528,1.536,1721692799999,True
1721692800000,1.535,1.566,1.422,1.449,1721779199999,True
1721779200000,1.45,1.536,1.438,1.461,1721865599999,True
1721865600000,1.461,1.468,1.337,1.404,1721951999999,True
1721952000000,1.404,1.514,1.397,1.507,1722038399999,True
1722038400000,1.506,1.571,1.476,1.508,1722124799999,True
1722124800000,1.507,1.51,1.435,1.452,1722211199999,True
1722211200000,1.452,1.561,1.451,1.471,1722297599999,True
1722297600000,1.47,1.538,1.374,1.396,1722383999999,True
1722384000000,1.395,1.443,1.354,1.365,1722470399999,True
1722470400000,1.366,1.391,1.25,1.352,1722556799999,True
1722556800000,1.351,1.364,1.233,1.244,1722643199999,True
1722643200000,1.244,1.305,1.171,1.208,1722729599999,True
1722729600000,1.207,1.232,1.088,1.138,1722815999999,True
1722816000000,1.138,1.155,0.892,1.06,1722902399999,True
1722902400000,1.059,1.145,1.057,1.103,1722988799999,True
1722988800000,1.103,1.148,1.049,1.063,1723075199999,True
1723075200000,1.062,1.222,1.046,1.216,1723161599999,True
1723161600000,1.217,1.217,1.144,1.177,1723247999999,True
1723248000000,1.177,1.199,1.168,1.189,1723334399999,True
1723334400000,1.189,1.218,1.101,1.11,1723420799999,True
1723420800000,1.11,1.204,1.105,1.19,1723507199999,True
1723507200000,1.19,1.234,1.145,1.208,1723593599999,True
1723593600000,1.207,1.227,1.156,1.169,1723679999999,True
1723680000000,1.169,1.235,1.133,1.159,1723766399999,True
1723766400000,1.16,1.199,1.114,1.142,1723852799999,True
1723852800000,1.142,1.154,1.133,1.142,1723939199999,True
1723939200000,1.142,1.171,1.126,1.129,1724025599999,True
1724025600000,1.128,1.166,1.106,1.163,1724111999999,True
1724112000000,1.163,1.205,1.141,1.181,1724198399999,True
1724198400000,1.18,1.264,1.162,1.239,1724284799999,True
1724284800000,1.238,1.335,1.229,1.322,1724371199999,True
1724371200000,1.323,1.428,1.311,1.41,1724457599999,True
1724457600000,1.412,1.456,1.383,1.416,1724543999999,True
1724544000000,1.416,1.419,1.345,1.37,1724630399999,True
1724630400000,1.37,1.406,1.316,1.325,1724716799999,True
1724716800000,1.324,1.391,1.235,1.251,1724803199999,True
1724803200000,1.251,1.304,1.205,1.244,1724889599999,True
1724889600000,1.244,1.321,1.203,1.225,1724975999999,True
1724976000000,1.224,1.247,1.168,1.22,1725062399999,True
1725062400000,1.22,1.234,1.182,1.2,1725148799999,True
1725148800000,1.2,1.206,1.132,1.149,1725235199999,True
1725235200000,1.148,1.202,1.146,1.188,1725321599999,True
1725321600000,1.187,1.209,1.127,1.131,1725407999999,True
1725408000000,1.132,1.17,1.071,1.149,1725494399999,True
1725494400000,1.148,1.155,1.096,1.108,1725580799999,True
1725580800000,1.107,1.15,1.05,1.093,1725667199999,True
1725667200000,1.093,1.163,1.093,1.125,1725753599999,True
1725753600000,1.125,1.182,1.113,1.16,1725839999999,True
1725840000000,1.16,1.217,1.15,1.189,1725926399999,True
1725926400000,1.189,1.227,1.179,1.208,1726012799999,True
1726012800000,1.208,1.208,1.151,1.186,1726099199999,True
1726099200000,1.187,1.218,1.181,1.199,1726185599999,True
1726185600000,1.198,1.302,1.191,1.295,1726271999999,True
1726272000000,1.295,1.336,1.278,1.295,1726358399999,True
1726358400000,1.295,1.35,1.294,1.295,1726444799999,True
1726444800000,1.295,1.384,1.276,1.311,1726531199999,True
1726531200000,1.311,1.341,1.267,1.299,1726617599999,True
1726617600000,1.298,1.402,1.254,1.392,1726703999999,True
1726704000000,1.393,1.432,1.372,1.402,1726790399999,True
1726790400000,1.403,1.432,1.361,1.419,1726876799999,True
1726876800000,1.42,1.458,1.39,1.44,1726963199999,True
1726963200000,1.441,1.441,1.352,1.397,1727049599999,True
1727049600000,1.396,1.42,1.356,1.387,1727135999999,True
1727136000000,1.388,1.417,1.347,1.403,1727222399999,True
1727222400000,1.403,1.43,1.361,1.386,1727308799999,True
1727308800000,1.386,1.553,1.382,1.52,1727395199999,True
1727395200000,1.521,1.546,1.489,1.519,1727481599999,True
1727481600000,1.52,1.556,1.441,1.459,1727567999999,True
1727568000000,1.459,1.519,1.429,1.476,1727654399999,True
1727654400000,1.477,1.501,1.381,1.4,1727740799999,True
1727740800000,1.399,1.472,1.3,1.303,1727827199999,True
1727827200000,1.304,1.339,1.207,1.23,1727913599999,True
1727913600000,1.229,1.268,1.186,1.232,1727999999999,True
1728000000000,1.232,1.291,1.22,1.281,1728086399999,True
1728086400000,1.279,1.318,1.263,1.281,1728172799999,True
1728172800000,1.281,1.347,1.272,1.336,1728259199999,True
1728259200000,1.336,1.375,1.298,1.301,1728345599999,True
1728345600000,1.3,1.318,1.271,1.288,1728431999999,True
1728432000000,1.287,1.307,1.218,1.228,1728518399999,True
1728518400000,1.227,1.235,1.165,1.201,1728604799999,True
1728604800000,1.201,1.296,1.192,1.288,1728691199999,True
1728691200000,1.288,1.324,1.284,1.296,1728777599999,True
1728777600000,1.298,1.3,1.236,1.284,1728863999999,True
1728864000000,1.285,1.364,1.266,1.354,1728950399999,True
1728950400000,1.355,1.373,1.293,1.332,1729036799999,True
1729036800000,1.332,1.341,1.275,1.304,1729123199999,True
1729123200000,1.304,1.31,1.222,1.247,1729209599999,True
1729209600000,1.246,1.303,1.24,1.298,1729295999999,True
1729296000000,1.299,1.321,1.279,1.298,1729382399999,True
1729382400000,1.299,1.369,1.276,1.368,1729468799999,True
1729468800000,1.369,1.399,1.324,1.325,1729555199999,True
1729555200000,1.325,1.337,1.279,1.295,1729641599999,True
1729641600000,1.296,1.298,1.205,1.247,1729727999999,True
1729728000000,1.247,1.294,1.24,1.26,1729814399999,True
1729814400000,1.26,1.266,1.08,1.138,1729900799999,True
1729900800000,1.139,1.158,1.11,1.149,1729987199999,True
1729987200000,1.15,1.18,1.135,1.172,1730073599999,True
1730073600000,1.172,1.199,1.127,1.19,1730159999999,True
1730160000000,1.19,1.242,1.189,1.221,1730246399999,True
1730246400000,1.222,1.222,1.177,1.192,1730332799999,True
1730332800000,1.193,1.195,1.112,1.128,1730419199999,True
1730419200000,1.129,1.155,1.092,1.113,1730505599999,True
1730505600000,1.114,1.127,1.083,1.1,1730591999999,True
1730592000000,1.101,1.107,1.008,1.052,1730678399999,True
1730678400000,1.053,1.081,1.0,1.02,1730764799999,True
1730764800000,1.021,1.113,1.021,1.092,1730851199999,True
1730851200000,1.092,1.225,1.091,1.213,1730937599999,True
1730937600000,1.214,1.249,1.178,1.211,1731023999999,True
1731024000000,1.213,1.26,1.173,1.224,1731110399999,True
1731110400000,1.223,1.335,1.204,1.308,1731196799999,True
1731196800000,1.308,1.44,1.276,1.387,1731283199999,True
1731283200000,1.388,1.65,1.381,1.553,1731369599999,True
1731369600000,1.553,1.616,1.382,1.445,1731455999999,True
1731456000000,1.443,1.466,1.311,1.404,1731542399999,True
1731542400000,1.406,1.425,1.275,1.297,1731628799999,True
1731628800000,1.296,1.382,1.26,1.367,1731715199999,True
1731715200000,1.367,1.55,1.359,1.533,1731801599999,True
1731801600000,1.532,1.576,1.4,1.437,1731887999999,True
1731888000000,1.437,1.84,1.425,1.716,1731974399999,True
1731974400000,1.717,1.841,1.676,1.717,1732060799999,True
1732060800000,1.715,1.729,1.596,1.639,1732147199999,True
1732147200000,1.639,1.723,1.571,1.71,1732233599999,True
1732233600000,1.71,1.796,1.65,1.786,1732319999999,True
1732320000000,1.787,1.989,1.75,1.883,1732406399999,True
