open_time,open,high,low,close,close_time,is_closed
1720742400000,6.439,6.727,6.222,6.367,1720828799999,True
1720828800000,6.367,6.487,6.027,6.087,1720915199999,True
1720915200000,6.087,6.411,6.076,6.324,1721001599999,True
1721001600000,6.323,6.984,6.261,6.847,1721087999999,True
1721088000000,6.848,6.888,6.3,6.614,1721174399999,True
1721174400000,6.615,6.757,6.267,6.281,1721260799999,True
1721260800000,6.28,6.517,5.97,6.195,1721347199999,True
1721347200000,6.195,6.465,6.038,6.412,1721433599999,True
1721433600000,6.413,6.804,6.312,6.534,1721519999999,True
1721520000000,6.534,7.407,6.291,7.29,1721606399999,True
1721606400000,7.29,7.66,7.073,7.229,1721692799999,True
1721692800000,7.228,7.314,6.355,6.407,1721779199999,True
1721779200000,6.407,6.503,5.947,5.984,1721865599999,True
1721865600000,5.983,5.983,5.409,5.714,1721951999999,True
1721952000000,5.715,6.049,5.689,5.992,1722038399999,True
1722038400000,5.991,6.1,5.661,5.882,1722124799999,True
1722124800000,5.881,5.881,5.564,5.681,1722211199999,True
1722211200000,5.682,5.913,5.448,5.569,1722297599999,True
1722297600000,5.57,5.745,5.259,5.427,1722383999999,True
1722384000000,5.428,5.532,5.245,5.269,1722470399999,True
1722470400000,5.269,5.675,5.033,5.585,1722556799999,True
1722556800000,5.585,5.639,5.02,5.326,1722643199999,True
1722643200000,5.327,5.552,4.899,4.965,1722729599999,True
1722729600000,4.966,5.298,4.577,4.72,1722815999999,True
1722816000000,4.72,5.301,3.9,4.741,1722902399999,True
1722902400000,4.741,5.161,4.709,4.979,1722988799999,True
1722988800000,4.979,5.102,4.455,4.525,1723075199999,True
1723075200000,4.526,5.7,4.47,5.659,1723161599999,True
1723161600000,5.66,5.798,5.418,5.602,1723247999999,True
1723248000000,5.602,6.249,5.517,5.876,1723334399999,True
1723334400000,5.878,5.878,5.105,5.124,1723420799999,True
1723420800000,5.123,6.056,5.07,5.864,1723507199999,True
1723507200000,5.865,6.425,5.533,6.196,1723593599999,True
1723593600000,6.197,6.232,5.68,5.682,1723679999999,True
1723680000000,5.683,5.911,5.311,5.381,1723766399999,True
1723766400000,5.381,5.57,4.985,5.152,1723852799999,True
1723852800000,5.153,5.2,5.009,5.126,1723939199999,True
1723939200000,5.127,5.264,4.987,4.997,1724025599999,True
1724025600000,4.998,5.032,4.765,5.015,1724111999999,True
1724112000000,5.015,5.202,4.912,4.996,1724198399999,True
1724198400000,4.995,5.225,4.89,5.156,1724284799999,True
1724284800000,5.155,5.299,5.117,5.275,1724371199999,True
1724371200000,5.276,5.947,5.264,5.93,1724457599999,True
1724457600000,5.93,6.194,5.852,6.049,1724543999999,True
1724544000000,6.049,6.052,5.651,5.696,1724630399999,True
1724630400000,5.696,5.789,5.411,5.411,1724716799999,True
1724716800000,5.411,5.581,4.902,5.013,1724803199999,True
1724803200000,5.012,5.144,4.614,4.774,1724889599999,True
1724889600000,4.775,4.96,4.553,4.606,1724975999999,True
1724976000000,4.604,4.711,4.224,4.513,1725062399999,True
1725062400000,4.513,4.624,4.366,4.487,1725148799999,True
1725148800000,4.488,4.521,4.168,4.233,1725235199999,True
1725235200000,4.232,4.547,4.203,4.474,1725321599999,True
1725321600000,4.475,4.558,4.033,4.052,1725407999999,True
1725408000000,4.054,4.375,3.869,4.155,1725494399999,True
1725494400000,4.156,4.213,3.985,4.044,1725580799999,True
1725580800000,4.044,4.198,3.722,3.909,1725667199999,True
1725667200000,3.909,4.031,3.865,3.946,1725753599999,True
1725753600000,3.946,4.104,3.904,4.064,1725839999999,True
1725840000000,4.065,4.375,4.058,4.26,1725926399999,True
1725926400000,4.26,4.288,4.107,4.232,1726012799999,True
1726012800000,4.233,4.248,3.883,4.112,1726099199999,True
1726099200000,4.113,4.335,4.096,4.241,1726185599999,True
1726185600000,4.24,4.593,4.068,4.504,1726271999999,True
1726272000000,4.504,4.693,4.315,4.654,1726358399999,True
1726358400000,4.654,5.12,4.608,4.8,1726444799999,True
1726444800000,4.798,4.811,4.478,4.536,1726531199999,True
1726531200000,4.535,5.291,4.522,5.227,1726617599999,True
1726617600000,5.227,5.471,4.999,5.404,1726703999999,True
1726704000000,5.404,6.498,5.323,5.948,1726790399999,True
1726790400000,5.947,6.261,5.758,6.005,1726876799999,True
1726876800000,6.005,6.14,5.748,6.014,1726963199999,True
1726963200000,6.014,6.034,5.194,5.354,1727049599999,True
1727049600000,5.354,6.777,5.241,6.649,1727135999999,True
1727136000000,6.648,6.91,6.03,6.414,1727222399999,True
1727222400000,6.412,6.85,6.116,6.157,1727308799999,True
1727308800000,6.157,6.498,6.08,6.268,1727395199999,True
1727395200000,6.268,6.599,6.166,6.383,1727481599999,True
1727481600000,6.383,6.443,5.735,5.988,1727567999999,True
1727568000000,5.991,6.225,5.762,6.008,1727654399999,True
1727654400000,6.009,6.096,5.46,5.528,1727740799999,True
1727740800000,5.529,5.746,4.945,5.091,1727827199999,True
1727827200000,5.089,5.531,4.746,4.837,1727913599999,True
1727913600000,4.836,4.933,4.506,4.758,1727999999999,True
1728000000000,4.757,5.368,4.747,5.238,1728086399999,True
1728086400000,5.238,5.245,4.96,5.143,1728172799999,True
1728172800000,5.144,5.484,5.057,5.315,1728259199999,True
1728259200000,5.313,5.74,5.285,5.325,1728345599999,True
1728345600000,5.325,5.432,5.046,5.136,1728431999999,True
1728432000000,5.135,5.195,4.795,4.816,1728518399999,True
1728518400000,4.816,5.05,4.683,5.02,1728604799999,True
1728604800000,5.02,5.65,4.936,5.377,1728691199999,True
1728691200000,5.377,5.646,5.306,5.51,1728777599999,True
1728777600000,5.511,6.383,5.433,6.247,1728863999999,True
1728864000000,6.249,6.517,5.965,6.279,1728950399999,True
1728950400000,6.28,6.43,5.853,6.064,1729036799999,True
1729036800000,6.065,6.081,5.679,5.873,1729123199999,True
1729123200000,5.875,6.193,5.566,5.959,1729209599999,True
1729209600000,5.96,6.33,5.875,6.016,1729295999999,True
1729296000000,6.017,6.171,5.832,5.862,1729382399999,True
1729382400000,5.862,6.11,5.765,6.105,1729468799999,True
1729468800000,6.105,6.179,5.62,5.625,1729555199999,True
1729555200000,5.625,5.83,5.593,5.789,1729641599999,True
1729641600000,5.789,6.027,5.67,5.974,1729727999999,True
1729728000000,5.975,6.286,5.791,6.135,1729814399999,True
1729814400000,6.136,6.246,5.052,5.299,1729900799999,True
1729900800000,5.299,5.426,5.171,5.395,1729987199999,True
1729987200000,5.396,5.465,5.1,5.129,1730073599999,True
1730073600000,5.13,5.245,4.759,5.088,1730159999999,True
1730160000000,5.088,5.43,4.921,5.276,1730246399999,True
1730246400000,5.277,5.278,4.602,4.764,1730332799999,True
1730332800000,4.764,4.973,4.558,4.867,1730419199999,True
1730419200000,4.866,4.928,4.411,4.552,1730505599999,True
1730505600000,4.553,4.725,4.539,4.681,1730591999999,True
1730592000000,4.683,4.774,4.287,4.556,1730678399999,True
1730678400000,4.557,4.631,4.161,4.222,1730764799999,True
1730764800000,4.223,4.501,4.177,4.226,1730851199999,True
1730851200000,4.226,5.21,4.211,5.115,1730937599999,True
1730937600000,5.115,5.328,5.025,5.125,1731023999999,True
1731024000000,5.127,5.45,5.018,5.409,1731110399999,True
1731110400000,5.409,5.575,5.193,5.528,1731196799999,True
1731196800000,5.529,5.757,5.223,5.579,1731283199999,True
1731283200000,5.582,5.899,5.455,5.8,1731369599999,True
1731369600000,5.802,5.855,4.992,5.475,1731455999999,True
1731456000000,5.475,5.584,4.8,5.033,1731542399999,True
1731542400000,5.034,5.415,4.65,4.734,1731628799999,True
1731628800000,4.733,4.992,4.569,4.934,1731715199999,True
1731715200000,4.935,5.404,4.876,5.231,1731801599999,True
1731801600000,5.232,5.386,4.877,5.025,1731887999999,True
1731888000000,5.027,5.753,4.968,5.559,1731974399999,True
1731974400000,5.56,5.569,5.014,5.161,1732060799999,True
1732060800000,5.163,5.2,4.838,4.937,1732147199999,True
1732147200000,4.938,5.54,4.807,5.417,1732233599999,True
1732233600000,5.419,5.8,5.355,5.71,1732319999999,True
1732320000000,5.709,7.637,5.655,7.125,1732406399999,True
1732406400000,7.125,8.524,7.041,7.954,1732492799999,True
1732492800000,7.954,8.514,7.431,7.761,1732579199999,True
1732579200000,7.758,8.598,7.234,8.217,1732665599999,True
1732665600000,8.218,8.64,7.789,8.063,1732751999999,True
1732752000000,8.064,8.939,7.966,8.232,1732838399999,True
1732838400000,8.229,8.257,7.86,8.04,1732924799999,True
1732924800000,8.039,8.588,7.976,8.366,1733011199999,True
1733011200000,8.367,8.45,7.907,8.0,1733097599999,True
1733097600000,8.0,8.047,7.182,7.681,1733183999999,True
1733184000000,7.68,8.177,7.29,8.096,1733270399999,True
1733270400000,8.097,8.924,7.896,8.326,1733356799999,True
1733356800000,8.326,8.71,7.842,8.244,1733443199999,True
1733443200000,8.247,9.282,8.18,8.836,1733529599999,True
1733529600000,8.839,8.973,8.387,8.465,1733615999999,True
1733616000000,8.465,8.557,8.134,8.379,1733702399999,True
1733702400000,8.38,8.381,5.75,6.662,1733788799999,True
1733788800000,6.663,6.997,6.236,6.629,1733875199999,True
1733875200000,6.631,7.373,6.394,7.212,1733961599999,True
1733961600000,7.213,7.66,7.124,7.216,1734047999999,True
1734048000000,7.217,7.365,6.87,7.116,1734134399999,True
1734134400000,7.118,7.231,6.601,6.85,1734220799999,True
1734220800000,6.853,7.002,6.539,6.885,1734307199999,True
1734307200000,6.886,7.082,6.418,6.579,1734393599999,True
1734393600000,6.58,6.688,6.156,6.272,1734479999999,True
1734480000000,6.272,6.397,5.618,5.748,1734566399999,True
1734566400000,5.748,5.83,4.914,5.103,1734652799999,True
1734652800000,5.105,5.364,4.344,5.239,1734739199999,True
1734739200000,5.24,5.672,4.83,4.942,1734825599999,True
1734825600000,4.943,5.193,4.783,4.921,1734911999999,True
1734912000000,4.922,5.449,4.798,5.331,1734998399999,True
1734998400000,5.33,5.508,5.126,5.381,1735084799999,True
1735084800000,5.38,5.412,5.038,5.124,1735171199999,True
1735171200000,5.124,5.171,4.802,4.905,1735257599999,True
1735257600000,4.906,5.087,4.697,4.747,1735343999999,True
1735344000000,4.748,4.995,4.656,4.925,1735430399999,True
1735430400000,4.926,4.972,4.693,4.755,1735516799999,True
1735516800000,4.756,4.952,4.643,4.767,1735603199999,True
1735603200000,4.768,4.867,4.591,4.621,1735689599999,True
1735689600000,4.62,4.887,4.553,4.864,1735775999999,True
1735776000000,4.864,5.186,4.856,5.067,1735862399999,True
1735862400000,5.067,5.507,4.958,5.5,1735948799999,True
1735948800000,5.498,5.707,5.393,5.565,1736035199999,True
1736035200000,5.565,5.615,5.366,5.554,1736121599999,True
1736121600000,5.555,5.678,5.335,5.524,1736207999999,True
1736208000000,5.524,5.597,4.874,4.879,1736294399999,True
1736294400000,4.878,4.939,4.332,4.514,1736380799999,True
1736380800000,4.513,4.732,4.371,4.532,1736467199999,True
1736467200000,4.533,4.872,4.432,4.834,1736553599999,True
1736553600000,4.834,4.957,4.6,4.929,1736639999999,True
1736640000000,4.93,5.194,4.765,4.934,1736726399999,True
1736726400000,4.934,5.116,4.316,4.613,1736812799999,True
1736812800000,4.612,4.826,4.57,4.767,1736899199999,True
1736899200000,4.767,5.273,4.632,5.242,1736985599999,True
1736985600000,5.243,5.268,4.876,5.009,1737071999999,True
1737072000000,5.009,5.49,5.009,5.369,1737158399999,True
1737158400000,5.369,5.477,4.761,4.853,1737244799999,True
1737244800000,4.854,5.286,4.467,4.653,1737331199999,True
1737331200000,4.652,5.22,4.367,4.604,1737417599999,True
1737417600000,4.604,5.0,4.401,4.887,1737503999999,True
1737504000000,4.887,4.988,4.656,4.679,1737590399999,True
1737590400000,4.679,4.754,4.45,4.635,1737676799999,True
1737676800000,4.635,4.839,4.5,4.542,1737763199999,True
1737763200000,4.543,4.662,4.451,4.543,1737849599999,True
1737849600000,4.543,4.638,4.337,4.346,1737935999999,True
1737936000000,4.345,4.345,3.82,4.053,1738022399999,True
1738022400000,4.053,4.122,3.756,3.807,1738108799999,True
1738108800000,3.807,4.095,3.793,3.922,1738195199999,True
1738195200000,3.922,4.358,3.862,4.245,1738281599999,True
1738281600000,4.245,4.54,4.136,4.341,1738367999999,True
1738368000000,4.339,4.456,3.875,3.925,1738454399999,True
1738454400000,3.925,4.025,3.0,3.3,1738540799999,True
1738540800000,3.301,3.514,2.353,3.499,1738627199999,True
1738627200000,3.498,3.511,3.039,3.249,1738713599999,True
1738713600000,3.25,3.314,2.974,3.026,1738799999999,True
1738800000000,3.026,3.14,2.822,2.916,1738886399999,True
1738886400000,2.917,3.108,2.723,2.82,1738972799999,True
1738972800000,2.821,3.047,2.775,3.033,1739059199999,True
1739059200000,3.033,3.187,2.917,3.114,1739145599999,True
1739145600000,3.113,3.32,3.009,3.232,1739231999999,True
1739232000000,3.232,3.57,3.184,3.224,1739318399999,True
1739318400000,3.224,3.309,2.968,3.222,1739404799999,True
1739404800000,3.222,3.256,2.942,3.044,1739491199999,True
1739491200000,3.045,3.305,3.032,3.18,1739577599999,True
1739577600000,3.179,3.224,3.015,3.066,1739663999999,True
1739664000000,3.067,3.108,2.976,3.03,1739750399999,True
1739750400000,3.031,3.232,2.998,3.13,1739836799999,True
1739836800000,3.131,3.209,2.929,3.002,1739923199999,True
1739923200000,3.003,3.209,2.928,3.142,1740009599999,True
1740009600000,3.142,3.788,3.128,3.663,1740095999999,True
1740096000000,3.662,3.795,3.461,3.59,1740182399999,True
1740182400000,3.589,4.0,3.504,3.758,1740268799999,True
1740268800000,3.757,3.809,3.663,3.709,1740355199999,True
1740355200000,3.709,3.753,3.2,3.242,1740441599999,True
1740441600000,3.241,3.807,3.011,3.642,1740527999999,True
1740528000000,3.643,4.097,3.58,3.83,1740614399999,True
1740614400000,3.83,3.989,3.603,3.639,1740700799999,True
1740700800000,3.638,4.157,3.389,4.084,1740787199999,True
1740787200000,4.082,4.318,4.039,4.169,1740873599999,True
1740873600000,4.168,4.5,4.08,4.154,1740959999999,True
1740960000000,4.153,4.161,3.317,3.419,1741046399999,True
1741046400000,3.419,3.604,3.186,3.419,1741132799999,True
1741132800000,3.418,3.504,3.23,3.377,1741219199999,True
