open_time,open,high,low,close,close_time,is_closed
1737244800000,27.25,77.24,27.25,46.5,1737331199999,True
1737331200000,46.49,63.99,34.5,36.5,1737417599999,True
1737417600000,36.51,48.33,30.4,43.76,1737503999999,True
1737504000000,43.76,44.55,36.1,36.86,1737590399999,True
1737590400000,36.86,39.84,34.0,34.69,1737676799999,True
1737676800000,34.68,35.46,29.1,30.18,1737763199999,True
1737763200000,30.19,30.6,25.71,28.89,1737849599999,True
1737849600000,28.89,32.3,27.07,27.38,1737935999999,True
1737936000000,27.39,28.25,24.58,28.0,1738022399999,True
1738022400000,28.01,30.47,26.27,27.34,1738108799999,True
1738108800000,27.35,28.7,26.26,27.25,1738195199999,True
1738195200000,27.25,28.3,25.77,26.06,1738281599999,True
1738281600000,26.06,26.64,23.62,24.14,1738367999999,True
1738368000000,24.14,25.03,18.56,19.7,1738454399999,True
1738454400000,19.71,22.65,19.38,21.01,1738540799999,True
1738540800000,21.01,21.25,16.0,19.66,1738627199999,True
1738627200000,19.66,19.79,16.29,17.19,1738713599999,True
1738713600000,17.19,20.73,17.19,18.17,1738799999999,True
1738800000000,18.17,19.56,16.82,17.08,1738886399999,True
1738886400000,17.09,18.27,16.15,16.57,1738972799999,True
1738972800000,16.57,17.48,16.2,17.25,1739059199999,True
1739059200000,17.25,17.95,15.27,15.88,1739145599999,True
1739145600000,15.88,16.56,14.27,15.91,1739231999999,True
1739232000000,15.91,16.8,15.22,15.35,1739318399999,True
1739318400000,15.35,15.58,14.46,15.45,1739404799999,True
1739404800000,15.45,17.9,15.3,16.3,1739491199999,True
1739491200000,16.3,24.58,15.83,21.58,1739577599999,True
1739577600000,21.58,22.42,18.09,18.66,1739663999999,True
1739664000000,18.66,19.61,18.22,18.75,1739750399999,True
1739750400000,18.74,19.35,16.82,17.18,1739836799999,True
1739836800000,17.19,17.43,15.61,16.38,1739923199999,True
1739923200000,16.38,17.43,16.06,17.03,1740009599999,True
1740009600000,17.03,17.46,16.57,17.09,1740095999999,True
1740096000000,17.09,17.39,15.67,15.9,1740182399999,True
1740182400000,15.91,16.79,15.74,16.52,1740268799999,True
1740268800000,16.51,16.6,15.81,16.13,1740355199999,True
1740355200000,16.13,16.3,12.17,12.95,1740441599999,True
1740441600000,12.95,13.68,12.31,13.25,1740527999999,True
1740528000000,13.26,13.35,12.41,13.3,1740614399999,True
1740614400000,13.3,13.64,12.31,12.59,1740700799999,True
1740700800000,12.59,13.55,11.06,12.95,1740787199999,True
1740787200000,12.95,14.52,12.67,13.17,1740873599999,True
1740873600000,13.16,17.75,13.13,16.96,1740959999999,True
1740960000000,16.96,17.02,12.33,12.83,1741046399999,True
1741046400000,12.82,13.18,11.67,12.97,1741132799999,True
1741132800000,12.97,13.69,12.66,13.22,1741219199999,True
1741219200000,13.22,13.88,12.85,13.08,1741305599999,True
1741305600000,13.08,13.35,12.18,12.36,1741391999999,True
1741392000000,12.35,12.43,11.71,12.02,1741478399999,True
1741478400000,12.02,12.18,10.48,10.71,1741564799999,True
1741564800000,10.71,11.59,10.18,10.3,1741651199999,True
1741651200000,10.31,10.9,9.54,10.5,1741737599999,True
1741737600000,10.51,10.85,10.04,10.57,1741823999999,True
1741824000000,10.57,12.47,10.27,10.73,1741910399999,True
1741910400000,10.73,12.35,10.67,11.88,1741996799999,True
1741996800000,11.88,12.51,11.83,12.18,1742083199999,True
1742083200000,12.18,12.2,11.05,11.22,1742169599999,True
