open_time,open,high,low,close,close_time,is_closed
1720396800000,0.04565,0.04883,0.04382,0.04843,1720483199999,True
1720483200000,0.04837,0.04966,0.04749,0.04949,1720569599999,True
1720569600000,0.04951,0.05058,0.04867,0.05026,1720655999999,True
1720656000000,0.05029,0.05128,0.04935,0.04951,1720742399999,True
1720742400000,0.04957,0.05133,0.0489,0.05099,1720828799999,True
1720828800000,0.05105,0.05225,0.05075,0.05218,1720915199999,True
1720915200000,0.05213,0.05345,0.05157,0.05329,1721001599999,True
1721001600000,0.0533,0.05664,0.05315,0.05664,1721087999999,True
1721088000000,0.05664,0.05739,0.05327,0.05629,1721174399999,True
1721174400000,0.05629,0.05848,0.0545,0.05488,1721260799999,True
1721260800000,0.05488,0.05644,0.05205,0.05313,1721347199999,True
1721347200000,0.05313,0.0557,0.05181,0.05545,1721433599999,True
1721433600000,0.05545,0.05618,0.05403,0.05539,1721519999999,True
1721520000000,0.05535,0.05774,0.05495,0.05723,1721606399999,True
1721606400000,0.05724,0.05832,0.05263,0.05274,1721692799999,True
1721692800000,0.0528,0.05369,0.05011,0.05052,1721779199999,True
1721779200000,0.05052,0.05066,0.04541,0.04719,1721865599999,True
1721865600000,0.04714,0.04809,0.044,0.04736,1721951999999,True
1721952000000,0.04736,0.04945,0.04716,0.04927,1722038399999,True
1722038400000,0.04928,0.0501,0.04709,0.04838,1722124799999,True
1722124800000,0.04837,0.0508,0.04731,0.04852,1722211199999,True
1722211200000,0.04853,0.05102,0.04622,0.04785,1722297599999,True
1722297600000,0.04779,0.04848,0.0452,0.04604,1722383999999,True
1722384000000,0.04602,0.04665,0.04409,0.04426,1722470399999,True
1722470400000,0.0443,0.04485,0.04105,0.04399,1722556799999,True
1722556800000,0.04399,0.04448,0.03981,0.04022,1722643199999,True
1722643200000,0.04024,0.04119,0.03657,0.03766,1722729599999,True
1722729600000,0.03769,0.03899,0.0354,0.0367,1722815999999,True
1722816000000,0.03667,0.03706,0.03151,0.03516,1722902399999,True
1722902400000,0.03516,0.03768,0.03504,0.03709,1722988799999,True
1722988800000,0.03713,0.03837,0.03541,0.03675,1723075199999,True
1723075200000,0.03675,0.04021,0.03628,0.0401,1723161599999,True
1723161600000,0.04008,0.0406,0.03896,0.03945,1723247999999,True
1723248000000,0.03942,0.04015,0.03897,0.03939,1723334399999,True
1723334400000,0.03942,0.04022,0.03781,0.03822,1723420799999,True
1723420800000,0.03817,0.04048,0.03712,0.03979,1723507199999,True
1723507200000,0.03979,0.04017,0.03828,0.03932,1723593599999,True
1723593600000,0.03934,0.03942,0.03723,0.03761,1723679999999,True
1723680000000,0.03758,0.03788,0.03431,0.03459,1723766399999,True
1723766400000,0.03463,0.0352,0.03301,0.03395,1723852799999,True
1723852800000,0.03395,0.03549,0.03342,0.03421,1723939199999,True
1723939200000,0.03421,0.03905,0.03348,0.0364,1724025599999,True
1724025600000,0.03646,0.04282,0.03537,0.0398,1724111999999,True
1724112000000,0.0398,0.04963,0.03973,0.04234,1724198399999,True
1724198400000,0.04231,0.048,0.04201,0.04498,1724284799999,True
1724284800000,0.04498,0.04616,0.04305,0.04444,1724371199999,True
1724371200000,0.04446,0.05399,0.0444,0.04888,1724457599999,True
1724457600000,0.04895,0.05165,0.04649,0.0495,1724543999999,True
1724544000000,0.0495,0.04953,0.04623,0.04739,1724630399999,True
1724630400000,0.04734,0.053,0.04693,0.04855,1724716799999,True
1724716800000,0.04855,0.04899,0.043,0.04465,1724803199999,True
1724803200000,0.04468,0.0463,0.04258,0.04331,1724889599999,True
1724889600000,0.0433,0.0462,0.04275,0.04412,1724975999999,True
1724976000000,0.04413,0.04648,0.04271,0.04613,1725062399999,True
1725062400000,0.04611,0.04746,0.04376,0.04444,1725148799999,True
1725148800000,0.04446,0.04472,0.04242,0.04282,1725235199999,True
1725235200000,0.04278,0.04569,0.04238,0.04542,1725321599999,True
