open_time,open,high,low,close,close_time,is_closed
1720742400000,0.1057,0.1105,0.1021,0.1092,1720828799999,True
1720828800000,0.1092,0.1141,0.1092,0.1117,1720915199999,True
1720915200000,0.1116,0.1179,0.1115,0.1164,1721001599999,True
1721001600000,0.1165,0.1298,0.1155,0.1291,1721087999999,True
1721088000000,0.1293,0.1305,0.1185,0.1269,1721174399999,True
1721174400000,0.1271,0.1347,0.1227,0.1266,1721260799999,True
1721260800000,0.1267,0.1301,0.1207,0.1251,1721347199999,True
1721347200000,0.1252,0.143,0.1213,0.1383,1721433599999,True
1721433600000,0.1383,0.1415,0.1334,0.1383,1721519999999,True
1721520000000,0.1383,0.1449,0.13,0.1423,1721606399999,True
1721606400000,0.1426,0.1433,0.1304,0.132,1721692799999,True
1721692800000,0.1319,0.1352,0.1219,0.1264,1721779199999,True
1721779200000,0.1264,0.1311,0.1208,0.1222,1721865599999,True
1721865600000,0.1221,0.1226,0.112,0.1179,1721951999999,True
1721952000000,0.1177,0.1284,0.1174,0.1269,1722038399999,True
1722038400000,0.1269,0.1283,0.1208,0.1249,1722124799999,True
1722124800000,0.1249,0.1259,0.1185,0.1198,1722211199999,True
1722211200000,0.1199,0.1334,0.1196,0.126,1722297599999,True
1722297600000,0.126,0.1281,0.1173,0.1183,1722383999999,True
1722384000000,0.1183,0.122,0.1137,0.1143,1722470399999,True
1722470400000,0.1143,0.1161,0.1014,0.1101,1722556799999,True
1722556800000,0.11,0.1119,0.0996,0.1007,1722643199999,True
1722643200000,0.1008,0.1014,0.0903,0.0918,1722729599999,True
1722729600000,0.0917,0.0948,0.0811,0.0857,1722815999999,True
1722816000000,0.0857,0.0868,0.0675,0.0772,1722902399999,True
1722902400000,0.0772,0.0875,0.0771,0.0855,1722988799999,True
1722988800000,0.0854,0.0877,0.0786,0.0804,1723075199999,True
1723075200000,0.0804,0.0922,0.0784,0.0919,1723161599999,True
1723161600000,0.0919,0.0921,0.0872,0.0887,1723247999999,True
1723248000000,0.0886,0.0906,0.0867,0.0898,1723334399999,True
1723334400000,0.0897,0.0956,0.0838,0.0841,1723420799999,True
1723420800000,0.0842,0.0949,0.083,0.0924,1723507199999,True
1723507200000,0.0923,0.0941,0.0877,0.0928,1723593599999,True
1723593600000,0.0928,0.0943,0.0882,0.0904,1723679999999,True
1723680000000,0.0904,0.0915,0.0836,0.0855,1723766399999,True
1723766400000,0.0854,0.0869,0.08,0.0841,1723852799999,True
1723852800000,0.084,0.0867,0.0828,0.0866,1723939199999,True
1723939200000,0.0866,0.0955,0.0845,0.0892,1724025599999,True
1724025600000,0.0893,0.0935,0.0871,0.093,1724111999999,True
1724112000000,0.0929,0.0948,0.0879,0.0901,1724198399999,True
1724198400000,0.0902,0.0942,0.0872,0.0937,1724284799999,True
1724284800000,0.0937,0.0984,0.0913,0.0978,1724371199999,True
1724371200000,0.0978,0.1074,0.0963,0.1069,1724457599999,True
1724457600000,0.1069,0.1189,0.105,0.1122,1724543999999,True
1724544000000,0.1123,0.1155,0.1045,0.1095,1724630399999,True
1724630400000,0.1096,0.1116,0.1012,0.1016,1724716799999,True
1724716800000,0.1016,0.1046,0.0909,0.0934,1724803199999,True
1724803200000,0.0933,0.097,0.0875,0.0918,1724889599999,True
1724889600000,0.0918,0.0968,0.089,0.0904,1724975999999,True
1724976000000,0.0903,0.0916,0.0842,0.0897,1725062399999,True
1725062400000,0.0896,0.0904,0.0848,0.086,1725148799999,True
1725148800000,0.0859,0.0864,0.0788,0.0798,1725235199999,True
1725235200000,0.0798,0.0945,0.0795,0.0933,1725321599999,True
1725321600000,0.0934,0.0965,0.0886,0.0888,1725407999999,True
1725408000000,0.089,0.0949,0.085,0.0935,1725494399999,True
1725494400000,0.0935,0.0941,0.087,0.0878,1725580799999,True
1725580800000,0.0878,0.0906,0.0803,0.0839,1725667199999,True
1725667200000,0.0839,0.0883,0.0825,0.0858,1725753599999,True
1725753600000,0.0858,0.092,0.0852,0.0898,1725839999999,True
1725840000000,0.0897,0.099,0.0891,0.0972,1725926399999,True
1725926400000,0.0972,0.1007,0.0947,0.098,1726012799999,True
1726012800000,0.098,0.0981,0.0909,0.0947,1726099199999,True
1726099200000,0.0946,0.1019,0.0946,0.1006,1726185599999,True
1726185600000,0.1007,0.1085,0.0982,0.1078,1726271999999,True
1726272000000,0.1079,0.11,0.1024,0.1039,1726358399999,True
1726358400000,0.1039,0.1051,0.0963,0.0978,1726444799999,True
1726444800000,0.0978,0.0993,0.0915,0.0927,1726531199999,True
1726531200000,0.0927,0.0998,0.0913,0.0976,1726617599999,True
1726617600000,0.0975,0.1034,0.092,0.1034,1726703999999,True
1726704000000,0.1034,0.1083,0.1017,0.1035,1726790399999,True
1726790400000,0.1035,0.109,0.0988,0.1025,1726876799999,True
1726876800000,0.1024,0.1042,0.0996,0.1041,1726963199999,True
1726963200000,0.104,0.1044,0.097,0.1008,1727049599999,True
1727049600000,0.1008,0.1121,0.0984,0.1108,1727135999999,True
1727136000000,0.111,0.1127,0.1055,0.1115,1727222399999,True
1727222400000,0.1116,0.1139,0.1064,0.1074,1727308799999,True
1727308800000,0.1073,0.1127,0.1059,0.109,1727395199999,True
1727395200000,0.1089,0.118,0.1084,0.115,1727481599999,True
1727481600000,0.115,0.1161,0.106,0.1085,1727567999999,True
1727568000000,0.1085,0.1107,0.1036,0.1072,1727654399999,True
1727654400000,0.1072,0.1127,0.1028,0.1066,1727740799999,True
1727740800000,0.1065,0.1124,0.0862,0.0881,1727827199999,True
1727827200000,0.0881,0.0958,0.0818,0.0842,1727913599999,True
1727913600000,0.0843,0.0866,0.0797,0.0821,1727999999999,True
1728000000000,0.0821,0.088,0.0816,0.0869,1728086399999,True
1728086400000,0.0868,0.0885,0.0812,0.0833,1728172799999,True
1728172800000,0.0833,0.0871,0.0824,0.0861,1728259199999,True
1728259200000,0.086,0.0907,0.0841,0.0849,1728345599999,True
1728345600000,0.0849,0.0871,0.0805,0.0822,1728431999999,True
1728432000000,0.0822,0.0861,0.0779,0.0804,1728518399999,True
1728518400000,0.0804,0.0825,0.0768,0.0804,1728604799999,True
1728604800000,0.0804,0.088,0.0794,0.0865,1728691199999,True
1728691200000,0.0865,0.0892,0.0855,0.0872,1728777599999,True
1728777600000,0.0873,0.0897,0.0842,0.0895,1728863999999,True
